"Group","Count"
"RedOakFlame_24h_Heart",550
"PeatFlame_24h_Heart",40
"RedOakSmolder_24h_Heart",27
"PeatSmolder_24h_Heart",245
"RedOakSmolder_4h_Lung",2
"PeatSmolder_4h_Lung",0
"PineNeedlesSmolder_4h_Lung",9
"PineSmolder_4h_Lung",10
"EucalyptusSmolder_4h_Lung",46
"RedOakFlame_4h_Lung",70
"PeatFlame_4h_Lung",210
"PineNeedlesFlame_4h_Lung",652
"PineFlame_4h_Lung",10
"EucalyptusFlame_4h_Lung",412
"LPS_4h_Lung",2939
"RedOakSmolder_24h_Lung",113
"PeatSmolder_24h_Lung",1
"PineNeedlesSmolder_24h_Lung",7
"PineSmolder_24h_Lung",0
"EucalyptusSmolder_24h_Lung",57
"RedOakFlame_24h_Lung",1
"PeatFlame_24h_Lung",46
"PineNeedlesFlame_24h_Lung",2564
"PineFlame_24h_Lung",1
"EucalyptusFlame_24h_Lung",146
"LPS_24h_Lung",3870
