"Group","Count"
"RedOakFlame_24h_Heart",2516
"PeatFlame_24h_Heart",180
"RedOakSmolder_24h_Heart",52
"PeatSmolder_24h_Heart",1249
"RedOakSmolder_4h_Lung",96
"PeatSmolder_4h_Lung",228
"PineNeedlesSmolder_4h_Lung",837
"PineSmolder_4h_Lung",430
"EucalyptusSmolder_4h_Lung",2001
"RedOakFlame_4h_Lung",1664
"PeatFlame_4h_Lung",2613
"PineNeedlesFlame_4h_Lung",637
"PineFlame_4h_Lung",569
"EucalyptusFlame_4h_Lung",2827
"LPS_4h_Lung",5312
"RedOakSmolder_24h_Lung",30
"PeatSmolder_24h_Lung",8
"PineNeedlesSmolder_24h_Lung",123
"PineSmolder_24h_Lung",9
"EucalyptusSmolder_24h_Lung",292
"RedOakFlame_24h_Lung",8
"PeatFlame_24h_Lung",376
"PineNeedlesFlame_24h_Lung",48
"PineFlame_24h_Lung",15
"EucalyptusFlame_24h_Lung",635
"LPS_24h_Lung",6098
