"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Cyp1a1_29719",73.1211868575955,6.06711760220825,0.471102923618589,12.8785394826381,5.94499237910731e-38,1.03181287731786e-33
"Cyp1a1_79654",94.9870926438043,5.25106430064281,0.561921654187594,9.34483350394212,9.20341583454511e-21,7.98672426121825e-17
"Nqo1_29503",316.360800204349,2.44994867444487,0.268112731506927,9.13775582634566,6.37617056043151e-20,3.68882720822831e-16
"Tmem109_70229",450.189089848535,0.99958046153014,0.128311480637708,7.79026519343576,6.68686971833317e-15,2.90143277078476e-11
"Cyp1b1_72511",72.8573526892265,2.71366228597344,0.349953040827128,7.75436121246323,8.87892683922896e-15,3.08205308443315e-11
"Txnrd1_31483",110.599756667428,1.6984365329306,0.225279970651358,7.53922564895521,4.72770298830443e-14,1.36756688441686e-10
"Txnrd1_72590",545.813763099474,1.28472540794117,0.176966676399036,7.25970241450593,3.87942856447608e-13,9.61876602357813e-10
"Rasa1_29997",658.254188776496,-1.00416328756146,0.139393615834471,-7.20379682778227,5.85586023453761e-13,1.27042887788294e-09
"Fbxo11_72686",2357.93749607859,-0.822711872801136,0.123188547274615,-6.67847694450953,2.41438198798298e-11,4.6560015314925e-08
"Rfesd_55124",216.42757519817,-1.35848248194568,0.216309695053912,-6.28026627103839,3.37993652376763e-10,5.86621783065109e-07
"Uggt1_66719",1105.16853758609,-0.829563100201978,0.134476774835329,-6.16882061023402,6.88012292489794e-10,1.08555830440481e-06
"Lipo5_56386",22.7646691939931,17.6713366907143,2.91823483010994,6.05548823843235,1.3999240365353e-09,2.02475679817556e-06
"Crbn_78654",551.99673746368,-0.767663545240394,0.128552621002332,-5.97158999369193,2.34952396641026e-09,2.4101825594574e-06
"Rb1cc1_65517",288.209259160779,-1.52136537542261,0.253778087463057,-5.99486500442668,2.03654548097081e-09,2.4101825594574e-06
"Tm2d2_70064",48.980776976869,1.95870048035385,0.327373045478864,5.98308415248043,2.1895157154457e-09,2.4101825594574e-06
"Vps41_58137",389.834549703327,-0.73667475812118,0.123319329190802,-5.97371687759817,2.31908132078118e-09,2.4101825594574e-06
"Xiap_78640",704.573445048962,-0.735525243517671,0.123186787963089,-5.97081274444838,2.36074576577413e-09,2.4101825594574e-06
"Snx13_32157",1948.48626036665,-0.77567528011146,0.130210538355233,-5.95708527058929,2.56776283039265e-09,2.47589398246082e-06
"Nbeal1_63407",1085.61350452127,-1.27155472903597,0.215114576765203,-5.91105794947532,3.39917412167434e-09,3.10505610819894e-06
"Polr2a_57084",482.491300520424,-0.831957126535252,0.142190864440453,-5.85098859767929,4.88659727833585e-09,4.24058911813985e-06
"Edc3_69882",195.176351935033,0.779316551249235,0.134078076334818,5.81240850519914,6.15803426059381e-09,4.8581292103121e-06
"Rptor_71994",550.273762864011,-0.736427386072609,0.126600760341839,-5.81692703964934,5.99392877118786e-09,4.8581292103121e-06
"Matr3_75030",1000.81173547571,-0.770754080135685,0.132799208494161,-5.80390567741657,6.47877318815773e-09,4.88893858494198e-06
"Anp32a_76549",1045.32259345479,-0.858308421769331,0.148870869643931,-5.76545581967936,8.14374343161995e-09,5.23491892589614e-06
"Csnk1g1_72572",85.3921262184862,-0.996106798037178,0.1727091835736,-5.76753810901251,8.04378997731978e-09,5.23491892589614e-06
"Rabl6_73963",193.957814477085,-0.913564003093635,0.157946878755871,-5.78399529189605,7.29469845393584e-09,5.23491892589614e-06
"Tubgcp5_63771",338.25031902645,-0.806961697890234,0.139896893365363,-5.76826031284859,8.00940235534347e-09,5.23491892589614e-06
"Ccdc88a_76169",452.991556490629,-1.08505433060272,0.189439781354857,-5.72770050114344,1.01801085553448e-08,6.3102130030916e-06
"Gclm_29258",99.0746395336514,1.04934031570395,0.184880592574905,5.675773217131,1.38063588982672e-08,8.05573694694009e-06
"Pomp_80505",650.757031760307,0.861006270920923,0.15173746319558,5.67431570811975,1.39244127914383e-08,8.05573694694009e-06
"Gm3150_31169",995.097006175083,-1.31092709183827,0.231278521376648,-5.66817482244001,1.44326666269766e-08,8.08043103154213e-06
"Wwp1_57205",2209.48380665349,-0.640802880231878,0.113386071333783,-5.65151321228425,1.59041460046636e-08,8.62601118927942e-06
"Nceh1_80299",410.313823356106,-1.11662164120221,0.198096075845289,-5.63676810071835,1.73271191547848e-08,9.1130145469832e-06
"Maoa_30665",301.313231655042,-1.0621053252111,0.189168784253059,-5.61459085020221,1.97027889467039e-08,1.00576942634998e-05
"Kat2b_64780",682.815674695507,-0.963890147809342,0.174291400822944,-5.53033679951037,3.19616532239372e-08,1.58493272387044e-05
"Rab6a_68205",554.098196746527,-0.8450291331253,0.153278058269139,-5.51304695967327,3.52674082994847e-08,1.61079246959436e-05
"Zfp386_57297",380.294209792829,-1.32005515855866,0.239340548915607,-5.51538452025577,3.48018201399816e-08,1.61079246959436e-05
"Zfp992_80059",306.079986948806,-1.67937587133015,0.3042820639865,-5.51914184269716,3.40659145161525e-08,1.61079246959436e-05
"Asph_69919",464.653585144025,-0.615441585275857,0.112539967913809,-5.46864902029479,4.5347870997721e-08,1.98804375757155e-05
"Rmi1_56327",369.068273090494,-1.13130919853496,0.206940989465738,-5.46682028270798,4.58180169986529e-08,1.98804375757155e-05
"Mettl9_60859",1375.04059116191,-0.86138762300064,0.158150210694161,-5.44664227268362,5.1329548873737e-08,2.12676552232052e-05
"Rap1a_77941",1082.34177566762,-1.02094025836112,0.187460215430066,-5.44617030349031,5.14658630660646e-08,2.12676552232052e-05
