"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Tmem109_70229",450.189089848535,0.858949357933668,0.123247294808086,6.96931611579127,3.18485349607678e-12,5.52763172779086e-08
"Ccny_61468",78.2012666777511,-1.65553835935704,0.317267903569246,-5.21810854716889,1.80759526052888e-07,0.000784315583543483
"Ddrgk1_66329",1394.85625634943,0.598855012007042,0.114370474082906,5.23609801226265,1.64006882343111e-07,0.000784315583543483
"Ttn_78247",182.848323153327,-2.66810422009685,0.511150508818343,-5.21980155368497,1.79114950412444e-07,0.000784315583543483
"Crhr2_71083",149.43903366291,-5.00335123086439,1.01840540250298,-4.91292683499853,8.97267669254792e-07,0.00259549627793103
"Dennd6a_58397",51.4102895281678,-1.35975332879215,0.275296140200184,-4.93923862428073,7.84281907587659e-07,0.00259549627793103
"Ift20_65044",667.596476246784,0.861876713930881,0.180545880847316,4.77372682160362,1.80847654250405e-06,0.00415799478446179
"Mylk4_29402",1287.89244065995,-2.41321105700978,0.506761178070077,-4.76202827177909,1.91656823436819e-06,0.00415799478446179
"Art1_56953",494.811390137042,-3.90710510795653,0.830222587424638,-4.70609348280492,2.52508762165527e-06,0.00430384140141434
"Bbx_56485",116.555141549322,-0.933324771749799,0.199001212950869,-4.69004564298925,2.73144112740423e-06,0.00430384140141434
"Qtrt2_70060",116.704846215028,-0.8642677598248,0.184969394606449,-4.67249061210188,2.97569122015281e-06,0.00430384140141434
"Znfx1_76964",1530.02624094766,-0.890966888454182,0.189965653683431,-4.69014725124436,2.730085063417e-06,0.00430384140141434
"Tmem182_30628",186.908343847398,-3.04688634998539,0.660526618454092,-4.61281387435433,3.97254007486333e-06,0.0053036465799483
"Actc1_79948",18446.1055077177,-1.91372010392782,0.424808467801803,-4.50490102946977,6.64038835156855e-06,0.00720316126436399
"Praf2_65312",34.6936406552861,2.79087726481267,0.618297046688416,4.51381302847966,6.36723554970994e-06,0.00720316126436399
"Trim44_60610",142.155521247771,-0.991406180683341,0.219462042825993,-4.51743804038772,6.25923347771966e-06,0.00720316126436399
"Tnnc1_63957",5958.62675175584,-2.02796985058106,0.452253445642283,-4.48414460989008,7.32070050238654e-06,0.00747400458349534
"H2-Aa_77871",127.456648772674,3.84034890801226,0.860564728598978,4.46259157549304,8.09743042958546e-06,0.00780772236310473
"Zmat1_55816",80.1156429498602,-1.1095819710483,0.253413597858187,-4.37854156377682,1.19476157275126e-05,0.0109138325561426
"Ctnna3_53913",223.563520623756,-1.50250637357791,0.346071357444883,-4.34160857654106,1.41443351330655e-05,0.0116157127379762
"Lgals3_57836",326.823101717475,0.873687112499705,0.201303068994369,4.34015793631117,1.42380345572321e-05,0.0116157127379762
"Spryd7_62533",392.011949698655,1.04257118759536,0.240624029888262,4.33278084520278,1.47237658582321e-05,0.0116157127379762
"Aldh1b1_55512",143.633548504155,-1.67621926829683,0.394355138662847,-4.25053233484022,2.13263043941638e-05,0.0125918165048488
"Bbip1_60571",116.858863348264,0.786391096668878,0.185843125618546,4.23147799549495,2.32160709930377e-05,0.0125918165048488
"Cacnb2_76028",748.406804321869,-1.18739964600181,0.279545554136596,-4.2476069765059,2.16066002848795e-05,0.0125918165048488
"Ckmt2_30858",6237.51542933357,-2.35613179822332,0.555505735842853,-4.24141758797221,2.22112446189143e-05,0.0125918165048488
"Crb3_57546",196.37279178273,0.648349464474037,0.153120909224243,4.23423207032123,2.29334023731939e-05,0.0125918165048488
"Dvl3_59929",452.904025216815,-0.514062744519325,0.120564612040937,-4.26379462279343,2.00984190137758e-05,0.0125918165048488
"Lrp6_29998",201.6432593377,-0.852600104908384,0.200405957386784,-4.25436506991089,2.09643028981553e-05,0.0125918165048488
"Mpdz_74743",151.798652725369,-0.772626954813546,0.181758947794498,-4.25083311819731,2.12976816276924e-05,0.0125918165048488
"Snx7_66630",394.14069917267,0.707883524806456,0.166801383480218,4.24387082431128,2.1969684919287e-05,0.0125918165048488
"Zfp746_66974",62.4197887966503,-0.905800528045049,0.212424664564851,-4.26410242850362,2.00707364083679e-05,0.0125918165048488
"Trim63_67828",329.234431699619,-3.21131037473093,0.762031871123416,-4.21414181797501,2.50729710225711e-05,0.013186863183871
"Cd3g_30595",11.4289499017445,2.31747720882187,0.551302428359887,4.20364048770167,2.62656002458497e-05,0.013407816407852
"Kif3c_65777",60.2501911334497,-1.25409795871345,0.298924072105746,-4.19537292490048,2.72422987958866e-05,0.0134316317686479
"Peak1_73295",25.1457171473041,-1.44129836368615,0.343961629097612,-4.19028822333299,2.78600336293688e-05,0.0134316317686479
"Hist1h4i_77144",105.192679653009,1.02429797054912,0.245754909505587,4.16796544414845,3.07330510807366e-05,0.0140369166988754
"Ttc30b_62618",207.138007157958,1.14906288722531,0.275471138653224,4.17126415799153,3.0291446226253e-05,0.0140369166988754
"Aspscr1_74134",1637.06932145825,-0.686066067887398,0.16498282532541,-4.15840901338797,3.20471831544344e-05,0.0142618182263683
"Ddt_77378",114.685718796328,0.779945601236405,0.188551066886029,4.13652181404972,3.52609848557768e-05,0.0152997413289216
"Btk_72761",51.7329641365768,1.36573374042309,0.332831916434129,4.10337372405624,4.07168729231756e-05,0.0160609556012417
"Dennd2a_61056",58.4502193495125,-0.956970645350541,0.232401643334432,-4.11774474405688,3.8259812251039e-05,0.0160609556012417
"Mnt_66575",197.745423514569,-0.929645370816183,0.226441431680143,-4.10545616108515,4.0351780726783e-05,0.0160609556012417
"Mrvi1_65523",74.377356604809,-1.3957997776826,0.339797430067823,-4.10774083077675,3.99548076304417e-05,0.0160609556012417
"Mknk2_70960",1065.00645370251,-0.60583077110275,0.149626475656718,-4.048954360809,5.14469752266664e-05,0.0194111674355222
"Ppp4r3b_79887",39.3083528728805,2.44167223761255,0.602926979106654,4.04969809317595,5.12837511299369e-05,0.0194111674355222
"Casc4_67336",157.67338205129,-0.828138350493563,0.205437142238438,-4.03110334124681,5.55156259057516e-05,0.0205006213451111
"Adcy2_57816",253.728912173602,-0.701542229958707,0.174289586608876,-4.02515287119845,5.69383146818664e-05,0.0205879456170515
"Dnajc5_61936",570.146529968754,-0.406591119723036,0.10148279018142,-4.00650316172993,6.1624300776853e-05,0.0214699428651091
"Nexn_77306",1210.04739163313,-0.816945341584444,0.204187838616561,-4.00095004246831,6.3088677467191e-05,0.0214699428651091
"Snx7_29060",410.935663323178,0.681847089228874,0.170380946573531,4.00189752986618,6.28365128880795e-05,0.0214699428651091
"Nrap_65543",200.704371665045,-2.98723678277202,0.748222465804296,-3.99244465288931,6.53955996457847e-05,0.0218270389894661
"Lats2_74587",907.10538738103,-0.418786972597654,0.105017221575832,-3.98779330012317,6.66907292212816e-05,0.0218393263465012
"Plekhf1_54125",57.349717888709,-1.39460468810761,0.350967933282186,-3.97359575008899,7.07956792733692e-05,0.0227542557308999
"Bloc1s1_29597",1066.37737474095,0.642719716947056,0.163103464781148,3.94056446200855,8.12901019623671e-05,0.0256522001756153
"Tmem14c_69199",113.440284704673,0.776947494124067,0.197816856537375,3.92761015276406,8.57941302550939e-05,0.026590052226918
"Hrc_61665",1120.81236591261,-2.12150117892944,0.542083511249642,-3.9136058096267,9.09280291768444e-05,0.0276498425331729
"Tsg101_65336",42.568881118097,0.959539510446426,0.245423546516052,3.9097288099195,9.23997964348944e-05,0.0276498425331729
"Dscr3_77710",27.7028546614983,1.47232214497894,0.377277960371487,3.90248649438525,9.52095522219108e-05,0.0280077455654828
"Wfdc17_62673",335.358801815887,1.54569078438761,0.396610987901423,3.89724649981656,9.72925774975241e-05,0.0281434995841171
"Lrp6_74300",349.187688828,-0.526853697474994,0.135398601439017,-3.89113101520687,9.97780355631369e-05,0.028389304675964
"Csnk1e_31995",423.417003456387,-0.520535089884011,0.13457151013577,-3.86809280328978,0.000109689921001067,0.0286878267455939
"Dyrk1a_61419",1038.01189488825,-0.550108769030245,0.141719284985724,-3.88167897605226,0.000103737762373438,0.0286878267455939
"Exosc3_67443",197.001641730043,0.598614046156096,0.154850363438033,3.86575809617422,0.000110744664205738,0.0286878267455939
"Hist1h2bp_63411",77.3909716108644,1.76350900264822,0.455996294655368,3.86737572940377,0.000110012858541742,0.0286878267455939
"Nsdhl_30986",73.1020804845539,1.36747588602732,0.352975610896659,3.87413703330251,0.000107003193368366,0.0286878267455939
"Sidt2_67644",466.456060649059,-0.517959219127891,0.133903581918778,-3.86815058795118,0.000109663936387709,0.0286878267455939
"Dhrs7c_63680",234.413864304471,-2.29331608272764,0.595067188778024,-3.85387755530092,0.000116261754929614,0.0287770487199817
"Phykpl_71618",27.9194235512742,1.04639534809834,0.271405754001395,3.85546486274185,0.00011550992154022,0.0287770487199817
"Thsd4_68732",19.5843906339697,-1.20373072404233,0.312737669588022,-3.84901097980311,0.000118595692092545,0.0287770487199817
"Trpc1_68464",66.3988392292157,-0.831392174404743,0.215524251141036,-3.85753422180175,0.000114536646954902,0.0287770487199817
"Vps4a_70844",86.5173832514263,-0.814881281881274,0.211800661764302,-3.84739724179001,0.000119379321723824,0.0287770487199817
"Ptprm_64602",47.28865582043,-1.02376632007641,0.267222453042124,-3.83113884488974,0.000127551497651632,0.0303258053868729
"Tatdn2_31072",103.50937656762,-0.793716967390273,0.207538728423536,-3.82442820874613,0.000131075931911687,0.0307426199224221
"Liph_60527",591.118584838731,0.678615087578731,0.177849392242632,3.81567279495072,0.000135812375953644,0.0314287946273526
"Nectin2_58538",38.5036867078732,1.05091181206578,0.275875511707257,3.80936968838664,0.000139321511908575,0.0317396708084105
"Timm22_72204",106.590065813688,0.642804361796286,0.168859741811762,3.8067354296494,0.000140813243388316,0.0317396708084105
"Lyz2_31340",6071.3374861637,0.979597414401106,0.258066652802848,3.79590855215794,0.000147103720234078,0.032017039204334
"Slc35b4_67369",204.117591520388,-0.443967271243283,0.116984029987651,-3.79511007861628,0.000147577963606057,0.032017039204334
"Syde2_61506",17.9005699635089,-1.5890053175663,0.418096035783047,-3.80057494348224,0.00014436074836021,0.032017039204334
"Kat6a_29325",235.587082453725,-1.05589270635475,0.27856234609537,-3.79050765889676,0.00015033969658578,0.0322135280733679
"AU040320_78423",22.3638448821465,1.10068979042033,0.291453614161249,3.77655220913254,0.0001590142399578,0.0330898910388753
"Ergic3_56526",811.986745156228,0.33434491113494,0.0886426667320023,3.77182821164193,0.000162055815758493,0.0330898910388753
"Rab3a_72604",148.489385447267,-1.22987829066416,0.325822159455361,-3.77469197527879,0.000160205494457939,0.0330898910388753
"Rerg_75058",26.4177588142708,-1.22850757762547,0.325394483015921,-3.77544070888677,0.000159725014964975,0.0330898910388753
"Nt5c1a_59837",195.428862454322,-1.92730680972778,0.511480172676588,-3.76809681525315,0.000164496907674172,0.0331977712743363
"Ccr1_55926",14.8650815247741,2.29352787888089,0.609737602728029,3.76149981339417,0.000168897547401774,0.0336940900310942
"Ergic1_77802",125.078827867153,-1.09550510444392,0.294538994851074,-3.71938902350717,0.000199705267365891,0.036224597292736
"Fcrla_55439",14.9818493193502,1.8536524628884,0.497272962151786,3.72763573323457,0.000193284469014133,0.036224597292736
"Mien1_54688",669.640495087202,0.629713316482675,0.169229190121233,3.72106795542518,0.000198382040623282,0.036224597292736
"Nf1_76546",166.59447275955,-0.69136061176174,0.186109398531547,-3.71480761969444,0.000203358347300749,0.036224597292736
"Nmnat3_54610",19.443355893404,1.71285493803402,0.458714385249994,3.73403362334175,0.000188437320837431,0.036224597292736
"Ppp2r1a_81856",26.0570740116185,1.53791352116254,0.414158957138866,3.7133412054804,0.000204540823616509,0.036224597292736
"Robo2_62098",53.2990289622619,-1.23962684321563,0.333463885745605,-3.71742457341041,0.000201264047868629,0.036224597292736
"Sh3bgr_53829",5128.6301298919,-1.15150402469132,0.30966151560933,-3.71858938436527,0.000200338402873933,0.036224597292736
"Terf2_56545",82.4809907465037,-0.775962322049778,0.207532506464366,-3.73899171397043,0.000184759816129465,0.036224597292736
"Txlnb_30194",1812.03651802348,-1.85990932731965,0.499782993153994,-3.72143380786584,0.000198094794327724,0.036224597292736
"Zfp180_61065",43.7545714657683,1.44996401839524,0.388203043500423,3.73506607604341,0.000187665906427596,0.036224597292736
"Esf1_57330",261.922717763742,-0.786589248268956,0.212338139703576,-3.70441810108647,0.000211876546908763,0.0369886478622429
"Mbtps1_67068",195.028085057724,0.943418461637969,0.255120973409088,3.69792592522446,0.000217368296162356,0.0369886478622429
"Nav1_80647",138.970470923678,-0.847843253183624,0.229517367228136,-3.69402657159659,0.000220730721484445,0.0369886478622429
"Sntb2_81964",194.130491236111,-0.780171434354545,0.211123078904289,-3.69533941245822,0.000219593239521548,0.0369886478622429
"Sox13_56478",248.432095552504,-0.66292278638249,0.179508935137599,-3.692979326485,0.000221642047572786,0.0369886478622429
"Tsc22d1_67808",38.4248031003568,-1.48399389419609,0.401186724379835,-3.69901047072305,0.000216441672670968,0.0369886478622429
"Nexn_76364",844.950668459476,-0.598807079539838,0.162369825642322,-3.68792093710149,0.000226093873895908,0.0373722407174989
"Aoc3_57195",83.4470699981313,-1.4409908131806,0.39289804862573,-3.66759473156171,0.000244842850425758,0.0375039629460011
"Ctsc_79390",427.905604964907,1.02104654293709,0.278217180786908,3.66996222177641,0.000242586317585716,0.0375039629460011
"Dclre1c_65653",30.8652355149465,1.27978203809762,0.347878248426579,3.67882166788512,0.000234314030901803,0.0375039629460011
"Fbxo30_61096",358.807884568575,-0.608155820421822,0.165651914929885,-3.67128759531235,0.000241331593666979,0.0375039629460011
"Myom1_61455",5319.38972229107,-0.986125480425116,0.268401288072258,-3.67407134111679,0.000238716033851951,0.0375039629460011
"Polr1d_32005",327.021869055449,0.530573414199086,0.144726703798113,3.66603674563895,0.00024633854435608,0.0375039629460011
"Rps15_62945",954.601935151898,0.613460768525331,0.166781863280258,3.67822229863495,0.000234865221121458,0.0375039629460011
"Tmem178_62244",26.3112619116139,-1.37399572853881,0.373840807022468,-3.67534978185577,0.000237523766198209,0.0375039629460011
"Wasl_69796",64.8833729325294,-0.933862348872171,0.254689369871354,-3.66667187305019,0.000245727779031619,0.0375039629460011
"Cul4b_82207",87.014307704858,0.758744760654656,0.207577355911157,3.65523858478764,0.000256942911809001,0.0381153946782652
"Gstp2_77221",37.8045605391636,1.3135719066542,0.359189368718435,3.65704561730472,0.000255138988184492,0.0381153946782652
"Kcng2_55425",696.011785326633,-1.65457055211625,0.452593275024217,-3.65575593677948,0.000256425231736633,0.0381153946782652
"Fut10_56971",233.69654694935,-0.584355197574496,0.160170079333282,-3.6483418126963,0.000263938334510887,0.0386732153595249
"Hdac4_67317",194.489748653415,-0.675911172363699,0.185358765357631,-3.64650234403318,0.000265834054128658,0.0386732153595249
"Lmod2_29135",1539.62459575169,-2.06409124563341,0.566279606624958,-3.64500367218847,0.000267387983587405,0.0386732153595249
"Gm10093_65299",17.5710907734143,2.15948466107697,0.592804548955115,3.64282741231205,0.000269659650444052,0.0386794453975782
"Zfp532_75260",68.1109655737413,-0.704249610214038,0.193682285604433,-3.63610749437541,0.000276788866211556,0.0393766193603915
"Sbf2_75213",526.576091190418,-0.46165987218812,0.127249826556919,-3.62798036492111,0.000285646978712583,0.0403064143295576
"Asb2_75471",917.808356461508,-1.30014668623599,0.359594875028399,-3.61558736378909,0.000299667389438613,0.0403492829282725
"Cpt1b_65168",882.228595627295,-1.24779404871811,0.345134323827399,-3.61538671344125,0.000299899602313157,0.0403492829282725
"Cyp51_31352",83.3247724648813,1.12838809613006,0.311611885871669,3.62113304174399,0.000293315622570554,0.0403492829282725
"Gm20532_65965",48.3844628308443,1.76922828958027,0.488544075402259,3.62143024275448,0.000292978808075991,0.0403492829282725
"Mybpc3_82288",5048.01462525094,-1.79146279831882,0.494443532675643,-3.62318986887027,0.000290992054829006,0.0403492829282725
"Tnni3_70126",19112.2240539164,-1.59112052766101,0.440081963062093,-3.61550952143093,0.000299757456488468,0.0403492829282725
"Klf2_61114",333.891245417455,-0.702925908078669,0.194604284651717,-3.61207827122971,0.00030375284716016,0.0405533416562442
"Tcap_75536",304.111758800388,-1.79252631101711,0.498277949515074,-3.59744257750439,0.000321361412241224,0.042576707411135
"Mrps7_71842",519.637678975108,0.45259051306874,0.126104246080723,3.58901882478265,0.000331924874902839,0.0433149483369449
"Vps8_72571",40.620948462318,-1.0467698162367,0.291636674679311,-3.5892941701785,0.000331574512492569,0.0433149483369449
"Adcy5_61214",347.909337152186,-1.01968192619842,0.284708409196277,-3.58149563996706,0.000341632840372655,0.0435983792463808
"Map3k11_57753",41.8602193828881,-0.944233251235467,0.263528037010545,-3.58304665396071,0.000339609922958912,0.0435983792463808
"Myom2_66038",1487.41884437034,-1.8991666500985,0.529982367442292,-3.58345251987141,0.000339082423393036,0.0435983792463808
"Chd3_71285",193.319752041184,-0.702789661910307,0.196495935859159,-3.57661169345528,0.000348076629194028,0.0440964815787705
"Gm49383_74777",64.5359704835134,-0.976125402486825,0.273463991276659,-3.569484223242,0.000357684756541596,0.0443495174658893
"Recql_77586",65.5238605636412,0.732936898237274,0.205336439226262,3.5694438892536,0.000357739827450132,0.0443495174658893
"Zfp14_53929",53.6014305670423,-1.02271323184275,0.286271818790416,-3.57252500844834,0.000353555707003511,0.0443495174658893
"Ryr2_70243",283.543541946873,-1.90759330007486,0.535496960425647,-3.56228595314263,0.000367639624978247,0.0452535697242727
"Ckm_65514",4818.60179958786,-1.95495406311493,0.550315723081847,-3.55242269322582,0.000381701159371093,0.0463279228713143
"Setd2_65146",311.157770305061,-0.645376245238585,0.181672321496456,-3.55241921236292,0.000381706209414493,0.0463279228713143
"Celf2_74972",28.3448644214643,1.05823438808222,0.298733303642608,3.54240513253336,0.000396496010892367,0.0477887830906106
"Arhgap21_71379",138.631659240387,-0.734500851269269,0.207552550656682,-3.53886689874618,0.000401848415496971,0.048099869650796
"Gdpd5_65642",73.812841796126,-0.898041277879032,0.25414071102394,-3.53363801596681,0.000409882025163314,0.0485802418689679
"Prrc2b_76846",544.313697465881,-0.632190232444652,0.179048647294966,-3.53082942538615,0.000414258803676379,0.0485802418689679
