"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Eif2ak2_30238",859.971392037309,2.61044479153519,0.143112965441357,18.2404493085909,2.46424406549498e-74,4.27694200007308e-70
"Slfn3_82374",1054.17745736515,5.25479782929009,0.309718011945684,16.9663940313928,1.45602854692093e-64,1.26354157301799e-60
"Rnf213_57840",455.784318838629,3.23641564603556,0.200253159662909,16.1616208777105,9.40557447997732e-59,5.44143835581621e-55
"Cmpk2_29189",333.551809162625,4.21587886990144,0.2726315724393,15.4636487336406,6.10407441938833e-54,2.64855789057259e-50
"Cmpk2_70664",158.006926108794,4.56337350100046,0.301818037898153,15.1196182069819,1.20237689864573e-51,4.17369069057904e-48
"Parp14_60994",4388.9216602353,2.85695553111084,0.193123072051862,14.7934449299958,1.61473235656317e-49,4.67088246341841e-46
"Usp18_67659",195.738163549167,3.61080766187651,0.2486918057703,14.5192064157175,9.15641385412414e-48,2.27026741217398e-44
"Usp18_32270",592.705152940592,3.76021967914087,0.262632154200361,14.3174383600883,1.70285093798367e-46,3.69433510995557e-43
"Ifit2_29861",423.999777546213,4.40710869763558,0.309113832941401,14.2572354517407,4.04150248478445e-46,7.793813013991e-43
"Ifit1_29859",197.245649433025,5.00754780274236,0.354572164942321,14.1227888081879,2.74893588325065e-45,4.77105311896982e-42
"Daxx_72797",169.687759601343,2.94578666240766,0.209378647484481,14.0691837386427,5.87435182061987e-45,9.26865910897078e-42
"Tnip1_64961",696.63539008555,2.35423371925446,0.169692944200852,13.8734920909141,9.17013187653747e-44,1.32630674040987e-40
"Dtx3l_58986",219.652770225183,2.83962916034553,0.207256216164523,13.7010566577718,1.00057502649517e-42,1.33584462768079e-39
"Trafd1_66514",1001.35832703895,2.00614902798676,0.147784885869657,13.5747916045768,5.65041806256377e-42,7.00490399241834e-39
"Oasl2_67419",724.881433054652,3.59329384899311,0.268027048843051,13.4064597752492,5.54219419495135e-41,6.4126881631717e-38
"Ifit2_65060",141.347053056777,5.35405322123334,0.400088859199757,13.3821602329601,7.68799926321053e-41,8.33955720076763e-38
"Ifit1_63654",148.285489298007,5.39667180551271,0.417460807356574,12.9273735651624,3.1541045544575e-38,3.22015521453908e-35
"Zc3h12a_61563",211.881241109236,2.49765786567126,0.193990154046511,12.8751785261865,6.20953342817358e-38,5.9873701210767e-35
"Daxx_77894",135.566100279053,2.90302407096003,0.227047945945562,12.7859517022721,1.96443265412216e-37,1.79445753394444e-34
"Isg15_29722",596.528260912131,5.20225680088127,0.412317287030071,12.6171202724805,1.69922005767989e-36,1.47458316605461e-33
"Daxx_80370",178.390867713589,2.99920377466751,0.240170990531913,12.4877853400408,8.7042970350166e-36,7.19389425427372e-33
"Trim30a_56089",918.486525058701,2.83633102934336,0.228235585297932,12.4272077276683,1.86019092682331e-35,1.46752153299752e-32
"Daxx_31547",2642.80029559192,2.32802551560272,0.187404241427912,12.4224803977995,1.97346556050742e-35,1.48919427252899e-32
"Cxcl10_29431",479.380570485338,8.42036383238039,0.69095188024463,12.1866139642014,3.6632842454949e-34,2.64916505686706e-31
"Slfn4_31065",705.160125944693,6.43573749202404,0.528489527193344,12.17760648201,4.09112493925474e-34,2.84022257782821e-31
"Myd88_81930",502.398318139163,1.70943722488922,0.142602608536143,11.9874190411879,4.13591867670861e-33,2.76088479049826e-30
"Marcksl1_62532",110.982718001348,3.66832237525977,0.306304870663945,11.9760497680247,4.74394557347222e-33,3.0494784953031e-30
"Birc3_66120",207.003604758797,2.62896230842115,0.220149902393508,11.9416919100968,7.17486923640839e-33,4.44739394525372e-30
"Tor1aip1_73280",374.587356791338,1.60806026289807,0.135565360890467,11.8618816217908,1.86730971417045e-32,1.11755266893594e-29
"Birc3_31711",159.250321740463,2.58132720676987,0.218487344571173,11.8145387863826,3.28345821068616e-32,1.89959002348897e-29
"Tnfaip3_30780",104.780710991789,3.23986262548111,0.279551463824691,11.589503346378,4.65825753578275e-31,2.60802315454985e-28
"Nfkbia_55629",273.988568528881,2.3502988556487,0.204059844658577,11.5176940352038,1.07448110466868e-30,5.82771689144675e-28
"Mt2_76492",678.262224058761,4.72388372572898,0.410601140384175,11.5047993322891,1.24779231070813e-30,6.56263131656068e-28
"Il4i1_31821",280.590291781061,5.31697742269101,0.462558738928298,11.4947075370577,1.4025524640494e-30,7.15961781354158e-28
"Sp100_66000",538.869679290559,2.0972096715778,0.182782479126936,11.4738003423259,1.78637994266773e-30,8.85840293855459e-28
"Tnfaip2_69751",54.9492638369982,3.92938819829649,0.343109315007451,11.4522923932018,2.29007958307261e-30,1.10407281232801e-27
"Ifit3b_56319",19.1941137226801,5.07417299810191,0.444202653427762,11.4231037544378,3.20576827731242e-30,1.50376524921715e-27
"Tnfaip3_67100",75.3588056807943,3.33418166483556,0.292608983636221,11.3946660946702,4.4453092773488e-30,2.03033652151752e-27
"Tnfaip2_69251",2776.16672770836,2.59480183413715,0.227892904421956,11.3860580289623,4.90690274823985e-30,2.18369754098592e-27
"Myd88_81931",956.515627922994,1.64235421404381,0.144334829462366,11.3787796068449,5.33409331863342e-30,2.31446309095504e-27
"Parp9_79423",137.822733664997,2.34994427718472,0.207516743206989,11.3241189162301,9.96760461229979e-30,4.21945721100183e-27
"Gbp2_76070",738.59317392651,3.43618602490484,0.304153178833319,11.2975509185387,1.3492852059347e-29,5.57576048433395e-27
"Il4i1_71608",59.3935967358253,5.77835412845731,0.511978376127152,11.2863245752048,1.53314521367268e-29,6.18820193686119e-27
"Tnfaip2_64104",101.907017846387,3.8669827780945,0.345579262433095,11.1898577214052,4.57166621083175e-29,1.80331451716354e-26
"Junb_57286",279.960319565109,2.27085788126285,0.203292991278347,11.1703697554119,5.69433413066033e-29,2.19624140381646e-26
"Tor3a_68066",138.166671838698,2.55896349467341,0.229194895628115,11.1650108422376,6.04838204694206e-29,2.28208084362449e-26
"Aida_80771",1447.04105372006,1.5377435466882,0.137911266988262,11.1502387025353,7.14145320523415e-29,2.63717152829881e-26
"Slc39a14_63214",191.67440338264,3.12167597039753,0.280123897185055,11.1439116825342,7.66759387060609e-29,2.77247415037999e-26
"Gk_63112",215.655693257161,2.24584137467928,0.204402903506911,10.9873261883648,4.39761259456846e-28,1.55765233043531e-25
"Mxd1_69048",444.567588076232,2.50320197217451,0.228438604611297,10.9578763030612,6.09119788861299e-28,2.11437661109534e-25
"Mx1_30118",49.091846516655,5.31034408392452,0.48619554989412,10.9222391794433,9.02431094341484e-28,3.01203732180592e-25
"Upp1_31815",164.278573124554,2.73385064707105,0.250264293852842,10.9238541582707,8.86522386899061e-28,3.01203732180592e-25
"Icam1_29910",517.009795142908,2.43701227196091,0.223427378859428,10.9074021474073,1.06249299825512e-27,3.38437321297511e-25
"Sdc4_72308",905.784849880272,1.66637869676905,0.152786953533761,10.906550973286,1.0724851735056e-27,3.38437321297511e-25
"Stxbp4_69034",477.586510953545,-1.60145025748924,0.146825172911942,-10.9071913605012,1.06495885067667e-27,3.38437321297511e-25
"Trafd1_70537",83.2669064642725,2.26740548908426,0.208206730632106,10.8901642238006,1.28408510892586e-27,3.97974663402092e-25
"Phf11d_80733",445.997575364977,2.79400555162766,0.257650234597926,10.8441801187871,2.12532842780476e-27,6.47143863034725e-25
"Oas1b_80080",59.4354961135983,3.01564592861235,0.279976825512508,10.7710555082268,4.71563721380048e-27,1.41111378418485e-24
"Gbp5_77887",203.968919745874,5.30889507954194,0.495707506911277,10.7097330694493,9.16256168627339e-27,2.68552546635374e-24
"Ifi44_29813",300.519745370278,4.19538445745459,0.391780230933413,10.7085149433373,9.28390919458541e-27,2.68552546635374e-24
"Sbno2_67698",247.766013782581,1.98445163869319,0.18569795665935,10.6864484369827,1.17795733755221e-26,3.35157828697641e-24
"Rtp4_60626",163.987858457764,3.47542389497108,0.325784859946645,10.6678496218033,1.4391847648116e-26,4.02878883517259e-24
"Eif2ak2_65920",131.76942373986,2.50107872785447,0.235063789285235,10.6400000419442,1.94129255637221e-26,5.34810692196764e-24
"Cxcl1_29501",113.713458337046,5.43918187927597,0.511997825444045,10.6234472276492,2.31838190638601e-26,6.28716193238055e-24
"Parp10_69190",85.8291873663335,2.32469712243818,0.219015002516754,10.6143282228364,2.55626531724144e-26,6.82562166862191e-24
"Stat2_70852",176.581229721574,2.25337950086118,0.21270053972304,10.594140963607,3.17240196740201e-26,8.34245584033778e-24
"Cd83_77099",170.766317477298,2.9997755088048,0.28413454317354,10.5575882302091,4.68545399240725e-26,1.2137423804809e-23
"Serpine1_30978",373.695490146658,3.11792948831251,0.295494129661645,10.5515784421257,4.99507902286095e-26,1.2749204635408e-23
"Ifit1_72951",72.0289838902951,5.08979882666504,0.48283603030911,10.5414644043995,5.56258887435381e-26,1.39919264497514e-23
"Gbp3_80156",1651.52489618591,3.87320834343224,0.36838065433192,10.5141469778225,7.4350561567844e-26,1.84346906653071e-23
"Ddx60_58915",172.70614738754,2.95230488603271,0.280881869380793,10.5108417732376,7.70031345407634e-26,1.88234704660492e-23
"Oasl2_67043",119.263339961063,3.8658400044359,0.369398619798673,10.4652259029631,1.24778547240144e-25,3.00785620263879e-23
"Rsad2_31088",438.46369796592,5.15291126841055,0.496580685813346,10.3767855166792,3.16244468744473e-25,7.51882054730009e-23
"Malt1_69431",81.6356383183352,2.6260324394813,0.253399682060525,10.3632033715578,3.64544553361965e-25,8.55004765966251e-23
"Znfx1_76964",1530.02624094766,2.18281649318974,0.211074235040061,10.3414634797821,4.57496807310964e-25,1.05870861169188e-22
"Nfkbia_29762",2351.63933579005,2.48390775255051,0.240519790900236,10.3272489272236,5.30605598285913e-25,1.21173562682241e-22
"Adm_30365",266.860744251212,3.1377996743586,0.304483529209716,10.3053182630362,6.66706275064185e-25,1.50277326104078e-22
"Sbno2_74429",175.037375363977,2.19429422730723,0.21435912165522,10.2365330216112,1.36023593968472e-24,3.02669935502155e-22
"Cd40_75097",82.7115396499262,2.55178794557691,0.25176619786759,10.1355462615317,3.84219998524167e-24,8.4411674612474e-22
"Socs3_79479",98.7012862918926,3.11519822787044,0.309411040184684,10.0681547303904,7.63979484328682e-24,1.65745349125107e-21
"Ankfy1_64798",942.895104002847,0.935190570146251,0.0929974136657299,10.0560922426047,8.63584188258739e-24,1.85041570017514e-21
"Ddx58_80748",74.7952971833228,2.54680272692865,0.25448150228818,10.0078107997201,1.40834431365934e-23,2.98088096437458e-21
"Irf7_75384",44.7201436132808,4.09422631700655,0.411341735149141,9.95334527755152,2.43845559118685e-23,5.0990162940529e-21
"Susd6_58062",336.494848809865,1.58834762534017,0.160057111812754,9.92363043010754,3.28582488787414e-23,6.78914008975518e-21
"Ddx58_76804",187.972891808983,2.13295991456585,0.216016397593951,9.8740648317597,5.39336722067719e-23,1.10126213508322e-20
"Nfkbiz_60338",128.449612846179,2.00085184439485,0.203010328995966,9.85591154051387,6.46275743597496e-23,1.30427462859048e-20
"Rnd1_56616",323.26040174083,2.60997584928691,0.265304807256998,9.837650045891,7.74998691649053e-23,1.54607784968517e-20
"Pml_73081",104.176783389053,2.36064380502999,0.240124877926167,9.83090059396441,8.28743019509002e-23,1.63450725529525e-20
"Mitd1_67240",323.434788891457,1.46743286137965,0.149746006116995,9.79947912756453,1.13167694904591e-22,2.2068972053529e-20
"Cebpd_68861",1487.43176723818,2.57169813163251,0.262490848807676,9.79728681328911,1.15650323562606e-22,2.23025223972511e-20
"Arid5a_72315",214.598075121554,2.26317798850194,0.231056783213998,9.79489957845495,1.18415025750676e-22,2.25847383178982e-20
"Ccl7_30624",91.6922436180037,5.5691013939478,0.568996062936538,9.78759214115852,1.2729103068901e-22,2.40137296591137e-20
"Cd274_61345",904.778615371699,3.28272401176227,0.337668756320043,9.72172861812212,2.43610194232642e-22,4.546342506561e-20
"Trim21_55307",113.969476913571,1.92551437844713,0.198196786887683,9.71516445187536,2.59829258210782e-22,4.79744319734715e-20
"Phf11d_30871",110.55026506297,2.70129892320733,0.278341736358135,9.70497259430629,2.87153466912728e-22,5.24614270709191e-20
"Slfn4_79582",108.81511643282,6.42742816040525,0.665097679354084,9.66388601242348,4.29264573691693e-22,7.76074577186772e-20
"Vcan_73200",100.207326179767,3.35313745506017,0.347547693978428,9.64799224151463,5.01275171170169e-22,8.96920811425717e-20
"Csf2_61958",31.9747625795381,4.92954968614288,0.512138030260603,9.62543180719164,6.2444096645388e-22,1.10589769528301e-19
"Irgm1_60585",1020.03806542738,2.82678317921569,0.293903525808539,9.61806487839539,6.70812371309334e-22,1.17602217337826e-19
"Sp140_70804",250.918298495993,2.10372711529166,0.219237328845569,9.59566113293383,8.33808070916868e-22,1.44715728788332e-19
"Batf_54960",91.7795060604285,2.55591060882155,0.266961882453845,9.57406572551962,1.02782353810755e-21,1.74891228699948e-19
"Slfn5_67218",766.848666835859,2.23128238042602,0.233031493367972,9.57502502420425,1.0183264359981e-21,1.74891228699948e-19
"Ptpn2_60750",272.353550937155,1.485246832497,0.155473972094599,9.55302558034149,1.25962776282233e-21,2.1225339273344e-19
"Csf1_66545",293.756552070396,2.26287400653494,0.237768976316231,9.51711212115971,1.78058397644124e-21,2.97152072068406e-19
"Pnp_75513",1019.63696273833,1.69025936717202,0.178487096681363,9.46992470940065,2.80045473705506e-21,4.62901832536454e-19
"Fas_71532",106.305795148561,2.80945545457421,0.29733216039514,9.44887848943279,3.42480384583171e-21,5.60763165549578e-19
"Rnf19b_67473",205.837154829782,1.76953826571702,0.187294455544728,9.44789454963036,3.45714384051037e-21,5.60768116784093e-19
"Arrdc4_31686",238.145924249404,1.63305141664552,0.173126535498651,9.43270430463992,3.99649640252117e-21,6.4225177372368e-19
"Scrn3_70196",577.849116989909,-1.34877062577562,0.143106664295326,-9.42493232175542,4.30383029758221e-21,6.85296134356302e-19
"Gbp3_70521",94.7383579833469,3.74554219746699,0.398520116519982,9.3986276782572,5.5279329996382e-21,8.72207319470187e-19
"Adar_60088",161.916528345311,1.97359366123964,0.21054888104929,9.37356518545265,7.01229947726109e-21,1.09644567321931e-18
"Tnip3_58404",41.781692143987,3.25561665238012,0.348520055104305,9.34126058084601,9.51939034158742e-21,1.47516552471957e-18
"Slc25a22_74808",104.84127755533,1.88639677516449,0.202452619733861,9.31771975904436,1.18867345982242e-20,1.82571828041397e-18
"Sdc4_81860",4040.04879057621,1.43544689133478,0.15428219442544,9.30403470523935,1.35214942193532e-20,2.05858819009732e-18
"Sod2_64335",4719.23438893529,2.07109036298085,0.222667055771362,9.30128777158428,1.38754792728819e-20,2.09411146313164e-18
"Selp_72839",57.8897407694289,4.11856899231137,0.445144615798558,9.25220444354459,2.19909590740385e-20,3.29030246283632e-18
"Sod2_30063",2969.50712197619,1.90117229413637,0.206168170074479,9.22146368883983,2.9307191587121e-20,4.34748390757326e-18
"Arg2_81876",72.2806202086888,2.84647374942732,0.309788662997538,9.18843743952611,3.98589002082908e-20,5.86263620351775e-18
"Tnf_32215",104.269655376137,4.36716702222378,0.476057416021288,9.17361409622172,4.57420299015493e-20,6.67141740312008e-18
"Gbp2_74664",1425.29111788511,2.92895663868483,0.321387440257257,9.11347573614054,7.97840686482432e-20,1.15394357954909e-17
