"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Txnrd1_31483",110.599756667428,2.21118073973189,0.225126187690948,9.82196146264152,9.0563978964755e-23,1.57182841891229e-18
"Osgin1_30257",147.249941093601,2.26994148296234,0.251299669793257,9.03280726484759,1.67323207234652e-19,1.45203079238231e-15
"Mt2_76492",678.262224058761,3.28153277135545,0.368048254633177,8.91603948679519,4.83261267545057e-19,2.79582751983734e-15
"Txnrd1_72590",545.813763099474,1.56389477356418,0.177051510990727,8.83299309231027,1.01911318856666e-18,4.42193212519073e-15
"Hmox1_31505",40.386392271458,3.2379182718191,0.373983749041616,8.65791168765142,4.80485548504226e-18,1.66786143596787e-14
"Tnfrsf12a_60668",848.235632933696,2.09041442704925,0.244668847395405,8.54385202408286,1.2982025673592e-17,3.75526729318106e-14
"Gja1_75237",2391.4716075736,1.40011530634591,0.171330524324353,8.17201320002554,3.03285340441265e-16,7.51974338385515e-13
"Rhof_64396",48.0478673876548,2.30175690581569,0.283961307175251,8.10588220174352,5.23641604907029e-16,1.1360404618458e-12
"Map2k3_65034",613.060736347384,1.16131768122914,0.144449202696864,8.03962679992246,9.01124958488019e-16,1.73776941994645e-12
"Gclm_29258",99.0746395336514,1.36592293218475,0.184497067491168,7.4034939999799,1.32647157918397e-13,2.30222407283169e-10
"Hspa1a_69206",45.7203089888308,4.7323901824483,0.64168945412168,7.37489162717473,1.64478791705573e-13,2.59517628076539e-10
"Tmem109_70229",450.189089848535,0.918455692642702,0.129286974946636,7.10400790970475,1.21189915660472e-12,1.75281014683596e-09
"Cebpd_68861",1487.43176723818,1.66472379773441,0.235190701254152,7.0781871428474,1.46052408466599e-12,1.94991200103561e-09
"Stx11_69405",251.437931491996,1.69954340668371,0.245874537185059,6.91223835595689,4.77065371268146e-12,5.9142475598071e-09
"Spred1_58716",1667.89453106518,0.974955829244228,0.143232448588599,6.80680836536246,9.97877094232317e-12,1.15461032316641e-08
"Hmox1_55177",14.4050313961851,3.29369804359524,0.494682945116147,6.65820011810172,2.77201182498129e-11,3.00693982714845e-08
"Atf3_29935",50.9034191021941,2.26160731593059,0.340195608156342,6.64796153068277,2.97179947764563e-11,3.03403245494221e-08
"Epha2_58921",908.825883136507,1.02900389596525,0.155350988262178,6.62373575782253,3.50232613950398e-11,3.3770206931795e-08
"Fosl1_30439",15.2324685482144,4.47272077756833,0.682258655938076,6.55575526765363,5.53609595570979e-11,5.05707796880521e-08
"Nrg1_67125",96.4998566842246,2.14871857895126,0.335343268158562,6.407519646213,1.47906033523883e-10,1.28352855892026e-07
"Lipo5_56386",22.7646691939931,18.5643508210253,2.90246541616289,6.3960627119436,1.59434544221114e-10,1.31768854738174e-07
"Slc25a25_80010",119.966109714096,1.2961694980083,0.206123662905665,6.28831003552227,3.20940473166615e-10,2.42184471838251e-07
"Srxn1_75314",11.6286915010195,2.68538356030047,0.426737621948913,6.29282121420726,3.11747331650755e-10,2.42184471838251e-07
"Zfp655_60623",704.361683912425,0.608807854351504,0.0971213989371511,6.2685243521407,3.64485627808128e-10,2.63583856509911e-07
"Kat6a_29325",235.587082453725,-1.43550799950264,0.235735212187949,-6.08949331828342,1.13268592014622e-09,7.86355873202312e-07
"Sfn_31323",74.4721946181831,1.75390159702963,0.288496154873182,6.07946264587345,1.20585968627131e-09,8.04957719804799e-07
"Ubtf_69427",2070.46014525876,-0.840257183856356,0.139031408200508,-6.04365009843354,1.50666076230138e-09,9.68503858907509e-07
"Csrnp1_69505",54.0522402883038,1.89029200124334,0.314349302107652,6.01334880837748,1.81729421978452e-09,1.12646280280643e-06
"Hacd3_30807",381.540850518474,-0.866303913433492,0.144830282730233,-5.98151089055807,2.21077273931117e-09,1.32310936770637e-06
"Slc25a25_72214",83.409083611833,1.36070598755357,0.228152186393155,5.96402782311621,2.46094806624679e-09,1.42374048792598e-06
"Nfkb2_30535",136.186679017008,1.27079990752076,0.213554957281506,5.95069261654087,2.6701013247655e-09,1.49491221266549e-06
"Hsph1_73551",464.989850740603,1.68313631758224,0.284663923625455,5.91271382810286,3.36516554517681e-09,1.82518166256527e-06
"Bcl3_75627",18.5068238960684,2.35340491408942,0.402307744232371,5.84976289377641,4.92274246080513e-09,2.58906418635557e-06
"Sept2_72375",1050.39466595966,0.559735241962713,0.0958477104982751,5.83983946046146,5.22511478136074e-09,2.66726741603815e-06
"Rabl6_73963",193.957814477085,-0.907327271536734,0.15584671634292,-5.82192100563916,5.8175046209155e-09,2.88481743430312e-06
"Ryk_56738",583.340532643972,-0.744228155364718,0.128682041875636,-5.78346554435288,7.31771817691792e-09,3.52795324107187e-06
"Wwp1_57205",2209.48380665349,-0.654000942148598,0.113231066627066,-5.77580836805672,7.65844984146969e-09,3.59243393104184e-06
"Myc_66507",71.7502939650485,1.54421897925247,0.268384966661993,5.75374618950726,8.72871778978332e-09,3.98672699893367e-06
"Uggt1_66719",1105.16853758609,-0.765796945715477,0.133670347193911,-5.72899645876255,1.01026503540429e-08,4.49593844986587e-06
"Polr2a_57084",482.491300520424,-0.808004164551905,0.141214667659238,-5.72181472325298,1.05392205851078e-08,4.57296781187827e-06
"Atf3_72119",96.253983268096,1.6615002110441,0.292041030749691,5.6892697809582,1.27583767879063e-08,5.33922888985334e-06
"Gclc_68462",262.509761358572,1.19350471125331,0.209861247126702,5.68711340275578,1.29204663156165e-08,5.33922888985334e-06
"Malt1_69431",81.6356383183352,1.30791337660045,0.230979371175157,5.66246834055421,1.49210912059706e-08,6.022568813275e-06
"Gadd45g_64460",115.152305371732,1.34302701383814,0.23761717334148,5.65206207510968,1.58534312769082e-08,6.25345802822769e-06
"Fbxo18_72416",1186.0631599335,-0.519406664050107,0.0919611923604647,-5.64810710602973,1.62224101844278e-08,6.25680335913174e-06
"AA986860_70183",153.206657263488,0.944818498043084,0.16774481387378,5.63247516405494,1.77641433942821e-08,6.70248853806869e-06
"Osgin1_79857",56.6508873524011,1.41876936384933,0.253075516544891,5.60611071042767,2.06923631897171e-08,7.64120543661129e-06
"Gm13889_55024",89.9672578687071,2.09649213937614,0.374861298425534,5.59271428707544,2.23546990493669e-08,8.08308659793359e-06
"Ppp2r5c_63803",107.497206899603,1.07979809461676,0.194825849860162,5.54237589822806,2.98394877121548e-08,1.05692683414726e-05
"Klhl24_57667",1694.44820858511,-0.566536466611367,0.10249200390011,-5.52761625349349,3.2461112212439e-08,1.12679012711818e-05
"Pcsk7_57804",149.590261430799,0.927403231131889,0.16829068755432,5.51072221885449,3.57364322314309e-08,1.19383457590349e-05
"Rasa1_29997",658.254188776496,-0.757131526074967,0.137423724312233,-5.5094673780979,3.59921086727342e-08,1.19383457590349e-05
"Tbl1xr1_67830",443.041745971278,-0.904046832109609,0.164156896970291,-5.5072119953219,3.6456114613324e-08,1.19383457590349e-05
"Ifrd1_69399",1265.2791108078,1.02917533818799,0.187661100950393,5.48422306474714,4.15290488876037e-08,1.33477439350602e-05
"Hspa1b_32188",134.563340613306,3.14336129454361,0.574983740684664,5.46686988192161,4.58052035331468e-08,1.41963412950231e-05
"Mecom_63983",418.338169466965,-0.993154432870457,0.181616558492637,-5.46841345917653,4.54081674168372e-08,1.41963412950231e-05
"St5_69450",575.984522339389,-0.604836444403024,0.110977785440554,-5.45006770500939,5.035064822388e-08,1.53313307118186e-05
"Terf2_56545",82.4809907465037,-0.937809014214407,0.172263969580478,-5.44402301014131,5.2090486728899e-08,1.55876290977029e-05
"Nr4a1_74357",45.3242515011132,2.29646696061238,0.423007306630901,5.4289061314399,5.67004942091018e-08,1.66795555507317e-05
"Igfbp7_80197",286.991513755364,1.26127827076204,0.233215597851422,5.40820717988847,6.36587606696828e-08,1.84143575030503e-05
"Cdk19_29897",385.154211299626,-0.85559889942357,0.158424231243527,-5.40068203397724,6.63880061954124e-08,1.88890202545504e-05
"Nrg1_74185",73.7264465728314,1.94693100870827,0.361012624214864,5.39297209603815,6.93017180484961e-08,1.94000099749951e-05
"Nolc1_29819",369.577214156515,0.651352848210054,0.121512809166568,5.36036367422952,8.30545825260677e-08,2.28808783225783e-05
"Tnip3_58404",41.781692143987,1.69797322912895,0.31837156365597,5.33330681179732,9.64401581401666e-08,2.61533653856364e-05
"Tlr3_73636",71.0733617475576,-1.11655078099163,0.209484813328464,-5.32998437094782,9.82212189943895e-08,2.62265765671788e-05
"Socs3_31487",174.32518831271,1.59255096112682,0.299786861502544,5.31227737314734,1.08263648329243e-07,2.84700587939749e-05
"Junb_57286",279.960319565109,0.971050577132896,0.183318314503559,5.29707345260391,1.17673369238195e-07,3.04826715895242e-05
