"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Tmem109_70229",450.189089848535,1.04843419773755,0.129511311632473,8.09530985766548,5.71187692118677e-16,4.53180314926959e-12
"Wnk1_72383",2003.34348599221,-0.844864135812976,0.166713762641694,-5.06775279032471,4.02539720396843e-07,0.00159687507081428
"Hbs1l_72436",450.82070873,-0.831894869879824,0.171178925543585,-4.8597972398653,1.17506036282008e-06,0.00310764297287149
"Zfp106_75666",767.00770884835,-0.711561132641261,0.150682824605046,-4.72224445291844,2.33256080434281e-06,0.00462663435541396
"Mtus1_80286",1825.34725562358,-0.868019495941832,0.19348527221809,-4.48623032642727,7.24943717752262e-06,0.00718962932080806
"Polr2a_57084",482.491300520424,-0.647206830505817,0.141194235112903,-4.58380492651342,4.56590230947154e-06,0.00718962932080806
"Rmnd5a_56652",799.951127084557,-0.665899074755113,0.147416218445619,-4.51713577906463,6.26817150979617e-06,0.00718962932080806
"Sntb2_81965",674.920690374922,-0.609353706782345,0.135626994145373,-4.49286449664439,7.02715004132979e-06,0.00718962932080806
"Arf1_31811",851.174092573208,6.49574688954898,1.47291646318288,4.410125795941,1.03310586845864e-05,0.00745151087304622
"Cdk19_29897",385.154211299626,-0.701052116618098,0.158324782717149,-4.42793670445481,9.51388096365089e-06,0.00745151087304622
"Mycbp2_30396",184.293229981227,-0.60138850011018,0.136027030474531,-4.42109555734794,9.8201731049984e-06,0.00745151087304622
"Nck1_29117",209.798339075969,-0.722529293175345,0.165775467321788,-4.35848141373559,1.3096804253773e-05,0.0086591704124529
"Mettl9_60859",1375.04059116191,-0.685268940256342,0.15804388530682,-4.3359408617802,1.4513796443644e-05,0.00885788161414396
"Cetn3_30290",2634.64908364213,-0.544967787328605,0.126345566070199,-4.31331153343217,1.60827243245228e-05,0.00911430962791168
"Slc34a2_74194",2116.71243385522,0.702451406803189,0.163529869913172,4.2955541221684,1.74257515466035e-05,0.00921706085138346
"Ryk_56738",583.340532643972,-0.546426433105583,0.128559723421261,-4.25037032255482,2.13417367736215e-05,0.0105828337226195
"Itfg1_30888",854.949819217058,-0.643224212213149,0.15267295484154,-4.21308549952906,2.51905652150009e-05,0.0111034413564343
"Rabl6_73963",193.957814477085,-0.654567874670381,0.155224630747048,-4.21690727508997,2.47675757566717e-05,0.0111034413564343
"Ubtf_69427",2070.46014525876,-0.582075951592614,0.139140145673361,-4.18337891465968,2.87208093663016e-05,0.0119932053427493
"Zbtb25_55165",154.739741845186,-0.888865787234355,0.213778063820877,-4.15789053071006,3.21199867951983e-05,0.0127419987616552
"Mecom_63983",418.338169466965,-0.744710617614811,0.18153520785776,-4.10229302845938,4.09075734021219e-05,0.0147527585169289
"Uggt1_66719",1105.16853758609,-0.54906674352132,0.133717790690112,-4.10616074860053,4.02289576072945e-05,0.0147527585169289
"Rab21_30198",295.029182600929,-0.707687743763099,0.174856029552546,-4.04725959736168,5.1820759627085e-05,0.0175651320545477
"Tbl1xr1_67830",443.041745971278,-0.662422937628249,0.163909400737292,-4.04139686100102,5.3133749597825e-05,0.0175651320545477
"Ifitm3_29087",1082.11256973395,-0.855869982406608,0.213659610154653,-4.00576403648357,6.18173371145517e-05,0.0196183501066741
"Inpp5k_68977",388.832512836975,-0.774129179822652,0.194374435254628,-3.98266973127691,6.81454243189159e-05,0.0205702836448396
"Wwp1_57205",2209.48380665349,-0.450494630629593,0.113295551037413,-3.97627820778971,7.00022256630537e-05,0.0205702836448396
"Sept2_72375",1050.39466595966,0.379549544753431,0.096225093997727,3.9443925589971,8.00025120148e-05,0.022669283225908
"Matr3_75030",1000.81173547571,-0.514937558854341,0.130964307412473,-3.93189235317788,8.42798057032098e-05,0.0230577923603195
"Arih1_65488",1347.84250512516,-0.391561808866173,0.100003752052424,-3.91547117813049,9.02278235148693e-05,0.0233861408883459
"Nqo1_29503",316.360800204349,1.05745844377118,0.270282322377467,3.91242177612477,9.13751408543892e-05,0.0233861408883459
"Sfr1_62065",2605.06935607863,-0.524398934207148,0.134424524343392,-3.90106594588019,9.57700552435602e-05,0.0237449880719502
"F8a_54756",247.327604786463,-0.442026515233697,0.1137469844392,-3.88605040751625,0.000101888358807685,0.0244964314781869
"Mff_71599",1753.97257392968,-0.419704299382736,0.108530453105651,-3.86715698103802,0.000110111551290617,0.0256948543511693
"Top2b_71230",696.421572411597,-0.524621849903119,0.136153396138438,-3.85316756527832,0.000116599535698794,0.0264314490352638
"Zfp106_69233",2006.42409061675,-0.548886026536907,0.142745692324723,-3.84520203445638,0.000120453152846439,0.0265465365189903
"Fbxo11_72686",2357.93749607859,-0.471491511267623,0.123243486437356,-3.82569111680625,0.00013040571832669,0.0272273412948411
"St5_69450",575.984522339389,-0.425102394181566,0.110947400930692,-3.83156694627868,0.000127329716391125,0.0272273412948411
"Bhlhe41_56554",174.371352828457,-0.894673297571603,0.234758334526047,-3.81103955000301,0.000138383622618553,0.02744839154639
