"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Tmem109_70229",450.189089848535,1.13134385294073,0.128835445278021,8.78130898293823,1.61582979941435e-18,2.26070747236062e-14
"Cyp1a1_29719",73.1211868575955,3.12069795974711,0.472813917069843,6.60026671610455,4.10418732790669e-11,2.87108424523712e-07
"Mtus1_80286",1825.34725562358,-1.17487844052307,0.193238559880494,-6.0799378822201,1.2022911548464e-09,5.60708518248531e-06
"Nqo1_29503",316.360800204349,1.60254235845843,0.268845847584477,5.96082242986801,2.50971572497689e-09,8.77835817703793e-06
"Ttc30b_62618",207.138007157958,1.58713761820844,0.277471235720636,5.72000774814153,1.06519195634472e-08,2.9806201322438e-05
"Zranb2_68671",660.342235253193,0.926124554859643,0.164708597905103,5.62280637828773,1.87879944674845e-08,4.38104717657626e-05
"Polr2a_57084",482.491300520424,-0.778679777942755,0.141397767928812,-5.50701605371019,3.6496699004065e-08,7.2946473680839e-05
"Edc3_69882",195.176351935033,0.678491879112934,0.134443159741114,5.04668203588378,4.49548567841315e-07,0.000702056934813043
"St5_69450",575.984522339389,-0.560291452985917,0.111041013844436,-5.04580635197425,4.51612637646872e-07,0.000702056934813043
"Zcchc10_67978",61.8161177633093,-0.937885120919803,0.193550164378255,-4.84569529523568,1.26169031082579e-06,0.00176523091387636
"Zfp106_75666",767.00770884835,-0.71466555702348,0.150757865357346,-4.74048604581582,2.13206136659409e-06,0.00271178823454709
"Fbxo11_72686",2357.93749607859,-0.576713938070652,0.123048626270606,-4.68687831428818,2.77403790744958e-06,0.00323429703026059
"Sept2_72375",1050.39466595966,0.447790597016752,0.0959554103440731,4.66665293193039,3.06145801856996e-06,0.00329483531829326
"Rhof_64396",48.0478673876548,1.32050763231754,0.287127541785358,4.59902809778061,4.24466536423012e-06,0.00395914087406291
"Ubtf_69427",2070.46014525876,-0.639694014127956,0.138923197325243,-4.60465945532712,4.13141360092799e-06,0.00395914087406291
"Stradb_71650",190.292486392638,-0.854045184358708,0.18807329432849,-4.54102315487188,5.59818822317023e-06,0.00489526571439842
"Cyp1a1_79654",94.9870926438043,2.4787029611201,0.56279484095882,4.40427448996724,1.06138484709278e-05,0.00722013233057865
"Ddrgk1_66329",1394.85625634943,0.504886121473182,0.114804842242557,4.39777723318038,1.09365143161497e-05,0.00722013233057865
"Ehd2_70002",412.524019889826,0.761519706915807,0.171584080060057,4.43817227477785,9.07259923533183e-06,0.00722013233057865
"Itfg1_30888",854.949819217058,-0.670310182415838,0.152580193180531,-4.39316642903144,1.11711540762028e-05,0.00722013233057865
"Ryk_56738",583.340532643972,-0.565300503335298,0.128780255339229,-4.38965198388681,1.1353220732809e-05,0.00722013233057865
"Slco3a1_63917",126.097107813891,0.93765964299893,0.213241875425245,4.39716468038493,1.09674133198453e-05,0.00722013233057865
"Clip1_61747",794.966964735538,-0.555607068370676,0.126920833388853,-4.37758761533213,1.20000127343795e-05,0.00729965992029148
"Pls3_57065",2246.70933052007,-0.595669146244101,0.13650082373403,-4.36385019481462,1.27793104964349e-05,0.00744980554815089
"1190002N15Rik_55292",52.3200013743872,-1.1683684507703,0.269807313680686,-4.33038094791253,1.48851605516704e-05,0.00766238242365176
"Angptl2_72005",136.567063407622,0.904477207359051,0.208036441111339,4.34768640785864,1.37581125881164e-05,0.00766238242365176
"Cyp1b1_72511",72.8573526892265,1.52018125002967,0.351950532989884,4.31930373031532,1.56522240769217e-05,0.00766238242365176
"Rmi1_56327",369.068273090494,-0.891952137931723,0.205611461626824,-4.33804677460335,1.43754565263819e-05,0.00766238242365176
"Uggt1_66719",1105.16853758609,-0.576661624958062,0.133607656763445,-4.31608216869678,1.58822879197985e-05,0.00766238242365176
"Rptor_71994",550.273762864011,-0.536198252745075,0.12542031027941,-4.27521070192329,1.90956614184182e-05,0.00890557996350298
"Rfk_77789",1487.7737232638,-0.509657499554904,0.119648634393152,-4.25961819071187,2.04776396702183e-05,0.00924202118148467
"Lrp6_74300",349.187688828,-0.542127380893806,0.127914599378952,-4.23819785642867,2.25321158078031e-05,0.009271965654911
"Zbtb25_55165",154.739741845186,-0.91458306908264,0.215578103977602,-4.24246735734193,2.21075705000442e-05,0.009271965654911
"Zmym4_60248",85.4519970354245,-0.828688317579037,0.195009093482998,-4.2494855125886,2.14262065441505e-05,0.009271965654911
"Csnk1g1_72572",85.3921262184862,-0.712313338457401,0.169920312367064,-4.19204348517589,2.76452988318111e-05,0.0100879181377585
"Mcrip1_63863",602.860301857354,0.655136831928505,0.156606335919656,4.18333541922986,2.8726307348794e-05,0.0100879181377585
"Rasa1_29997",658.254188776496,-0.575125813885109,0.137445275370228,-4.18439857125628,2.85922072440745e-05,0.0100879181377585
"Rif1_60095",404.944691860155,-0.661961693931084,0.157220747348052,-4.2103965608664,2.5492282236131e-05,0.0100879181377585
"Top2b_71230",696.421572411597,-0.570797232278542,0.136216214753946,-4.1903765517901,2.78491899376143e-05,0.0100879181377585
"Txnrd1_31483",110.599756667428,0.954473836834277,0.228210433204421,4.18242857450475,2.88411639990235e-05,0.0100879181377585
"Uba6_66827",119.503869119769,-0.897217977648165,0.215211707585107,-4.16900171331689,3.05936689657473e-05,0.0104399029877993
"Slc39a9_78760",595.666890277986,-0.539111470093882,0.129815615471216,-4.15290154529536,3.28286004942789e-05,0.0109358321313204
"AA986860_70183",153.206657263488,0.698311322388777,0.168464280456808,4.1451595584253,3.39577170484238e-05,0.0110013486999467
"Rabl6_73963",193.957814477085,-0.644128353172285,0.155553572787696,-4.14087790867659,3.45979088555252e-05,0.0110013486999467
"Terf2_56545",82.4809907465037,-0.711752544621201,0.172776624313636,-4.11949560566237,3.79702665389575e-05,0.0118053777588123
"Cdk19_29897",385.154211299626,-0.646625344104691,0.1584573829351,-4.08075238986832,4.48901559715359e-05,0.0133629398339949
"Map2k4_70072",213.633077282868,-0.927536756398564,0.227209905266166,-4.08229014184923,4.45940745694339e-05,0.0133629398339949
"Tnks2_67404",859.78636866995,-0.727291003188098,0.178847738419696,-4.06653732171546,4.77168463626338e-05,0.0136246203563186
"Trappc10_70369",264.997004234667,-0.554620999226654,0.136275869928138,-4.06984009362127,4.70454170921408e-05,0.0136246203563186
"Cd164_68574",535.103415925883,-0.577823610331116,0.14239125143049,-4.05799938216842,4.94948988143397e-05,0.0138496625862285
"Mecp2_55633",292.817179161744,-0.484701926095419,0.120090830134557,-4.0361277006107,5.43406462200978e-05,0.0144015610417115
"mt-Nd3_82088",1565.18952764792,-1.80098568530568,0.446318558865847,-4.03520232248961,5.45552666150174e-05,0.0144015610417115
"Txnrd1_72590",545.813763099474,0.717577126812918,0.177455957849139,4.04369137847123,5.26161698270685e-05,0.0144015610417115
"Angptl2_64658",46.4263761031581,1.09267705127092,0.271580755735108,4.02339646015525,5.73648095836118e-05,0.0146638628815629
"Mfap3l_57239",269.058859287801,-0.833295159974975,0.207171454842226,-4.02224891749484,5.76450903070516e-05,0.0146638628815629
"Kcnk2_32066",153.062682792615,-1.27392827814093,0.317513333053509,-4.01220404160551,6.01544708241742e-05,0.0148170119524389
"Mecom_63983",418.338169466965,-0.728151107858419,0.181521411435201,-4.01137861424328,6.03652120140816e-05,0.0148170119524389
"Trrap_70161",139.216652143548,-0.78510490462294,0.196427515735107,-3.99691917746236,6.41721986180518e-05,0.0154798832907787
"Mios_57885",276.033347366038,-0.538393098603156,0.135126837167892,-3.98435358872653,6.76640593990783e-05,0.0160455568652967
"Ppfibp1_75630",516.670953095328,0.794003825407707,0.20022667850196,3.9655246311242,7.32346888809194e-05,0.0170771088688824
"Marf1_60424",593.74044740533,-0.453728064691387,0.114684810453798,-3.9563047878444,7.61180345875991e-05,0.017458482326477
"Ap3b1_60863",1054.0093387808,-0.376395334494462,0.0957408017921671,-3.93139943941076,8.44528207540789e-05,0.017486680033663
"Apc_69392",520.974747726872,-0.636525890829543,0.161324548480552,-3.9456232596013,7.95926748071649e-05,0.017486680033663
"Crbn_78654",551.99673746368,-0.501257044513681,0.127433716432244,-3.93347269896344,8.37273526490315e-05,0.017486680033663
"Gramd1a_63402",85.3731498683918,0.746999357271473,0.190003592348525,3.9315012313096,8.44170638423788e-05,0.017486680033663
"Micalcl_68721",130.079795546715,-0.861712566697138,0.219461286045207,-3.92649009866657,8.61944387950654e-05,0.017486680033663
"Plaur_63645",74.8266361161723,1.12748597459881,0.285864683246051,3.94412475789587,8.00919566947336e-05,0.017486680033663
"Slc34a2_74194",2116.71243385522,0.642847358847789,0.163192998480693,3.93918467601319,8.17589801275089e-05,0.017486680033663
"Zdhhc21_64753",158.482193818787,-0.83323323568239,0.212215000702056,-3.92636351306864,8.62397914604207e-05,0.017486680033663
"Pik3ca_30701",289.440508691497,-0.564061338722466,0.143807050419067,-3.92234829292959,8.76901070028653e-05,0.0175267469582441
"Pcsk7_57804",149.590261430799,0.662658197211719,0.169366285705944,3.91257442087521,9.13173831595842e-05,0.0178624724931789
"Ufsp2_69257",226.416414249803,-0.506744359791321,0.129622049719272,-3.90939937216545,9.25258876690781e-05,0.0178624724931789
"Vwf_30926",45.6136037989452,1.19983158314164,0.307047199944526,3.90764541529254,9.31999493961877e-05,0.0178624724931789
"Nhlrc3_58726",46.2549943240177,-0.923950827654145,0.237544864809547,-3.88958451446604,0.000100415994320015,0.0185797080971089
"Oxnad1_66699",232.259455946516,-0.98795557227963,0.25379580939312,-3.89271822352797,9.91272639414919e-05,0.0185797080971089
"Srrm1_66200",53.5450982035722,-0.790979986745644,0.203422808149514,-3.88835447677176,0.000100926153625922,0.0185797080971089
"B4galt4_78044",75.8946771715537,-0.809698559838865,0.209137782661376,-3.87160344503549,0.000108121753555538,0.0195035900476036
"Ppp4c_63800",1089.95685274447,0.392712413324249,0.101470047452099,3.87022991695787,0.000108732758467092,0.0195035900476036
