"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Tmem109_70229",450.189089848535,1.06809295038151,0.128623545970894,8.30402351543945,1.00643709797345e-16,1.74677222724272e-12
"Lipo5_56386",22.7646691939931,19.8012873887754,2.92871678037812,6.76107963782652,1.36967206115752e-11,7.92400943114999e-08
"Ppfibp1_75630",516.670953095328,1.35849316656042,0.200438565447387,6.77760371876646,1.22185433160435e-11,7.92400943114999e-08
"Hmox1_31505",40.386392271458,2.53047847149876,0.384328409274381,6.58415670149482,4.57474439691107e-11,1.98498159381971e-07
"Gclm_29258",99.0746395336514,1.08902507800004,0.186195233318886,5.84883435836905,4.95029739733764e-09,1.71834723256384e-05
"Nqo1_29503",316.360800204349,1.54530969818179,0.274411756546663,5.6313538371269,1.78800469424457e-08,5.17210157888479e-05
"Ift20_65044",667.596476246784,0.975701726855882,0.177649368162581,5.49228931657634,3.96756724795083e-08,7.19914159548433e-05
"St5_69450",575.984522339389,-0.624142785188004,0.112764930835375,-5.53490150319151,3.11403302236813e-08,7.19914159548433e-05
"Txnrd1_31483",110.599756667428,1.24730026724071,0.22742547576372,5.48443512342729,4.14792670862199e-08,7.19914159548433e-05
"Txnrd1_72590",545.813763099474,0.980894888920982,0.178437615728886,5.49713066336491,3.86020679337598e-08,7.19914159548433e-05
"Zranb2_68671",660.342235253193,0.90346689959434,0.165765048539089,5.45028585673953,5.02889227556244e-08,7.93467766678742e-05
"Ttc30b_62618",207.138007157958,1.4931936634223,0.27876965254954,5.35637093121872,8.49101044250063e-08,0.000122808314366701
"Atp5k_68198",2991.2351707386,1.02417135758807,0.197546860754784,5.1844476478894,2.16655990471781e-07,0.000289252413125248
"Mt2_76492",678.262224058761,1.88177533293505,0.370335743645879,5.08126845766861,3.7492281489819e-07,0.000464797169669499
"Dcp1b_29958",28.5621922545338,-1.53983841179464,0.31504999865672,-4.88760012175862,1.02072588696323e-06,0.00118104789960892
"Cntrl_69772",65.0474419740693,1.13415154479514,0.237765992148169,4.77003264658795,1.84196064404575e-06,0.00177669443622987
"Fntb_58406",86.9169545548929,1.05386318721792,0.220304712871236,4.78366156349038,1.72130413918082e-06,0.00177669443622987
"Nbeal1_63407",1085.61350452127,-1.03636617814864,0.217269335716038,-4.76996063311544,1.84261925859286e-06,0.00177669443622987
"Pls3_57065",2246.70933052007,-0.652157530966678,0.137650372095168,-4.73778255038637,2.16069477986258e-06,0.00197373782101552
"Pip4k2a_67992",623.929467086821,0.876628260352536,0.185948701082505,4.71435538537898,2.4247714166024e-06,0.00210421663532757
"Edc3_69882",195.176351935033,0.624968766683601,0.136155446682851,4.59011212485205,4.43007969369091e-06,0.00302002079676538
"Lsm14a_67123",738.478370705499,-0.62673899858023,0.136672720023997,-4.5856919981558,4.52485237759736e-06,0.00302002079676538
"Lvrn_57576",48.1907243978404,-2.03149737319425,0.443243628419674,-4.58325228596582,4.57799141557072e-06,0.00302002079676538
"Sept2_72375",1050.39466595966,0.444022647275544,0.0965145936934231,4.60057521130922,4.21325856076356e-06,0.00302002079676538
"Stab1_67351",79.7458146948432,1.35144054000002,0.293514946778693,4.60433294737455,4.13790011775004e-06,0.00302002079676538
"Ykt6_29834",684.309459506452,0.487550405629205,0.106502386869663,4.5778354829349,4.69811946950134e-06,0.00302002079676538
"Zfp426_73412",81.7731215974156,-1.14902990827907,0.250007229013561,-4.59598673531454,4.3070610003162e-06,0.00302002079676538
"Tbc1d7_65739",34.9606938865011,2.04255254771149,0.447145306671545,4.5679838684114,4.9243792083235e-06,0.00305241162641652
"Pcsk7_57804",149.590261430799,0.771416895820544,0.169650740451971,4.5470882930743,5.43931835326111e-06,0.00325533825307585
"Ddrgk1_66329",1394.85625634943,0.520684561408088,0.115301630950528,4.51584732250226,6.30640904467995e-06,0.00364846784598217
"Cdon_64083",28.097505734433,-1.7591650175668,0.391005276260617,-4.49908255558747,6.82473525779609e-06,0.00382097113336481
"Heatr1_78361",193.53490932578,0.830292000285243,0.185652590663191,4.47228879122701,7.73868199800559e-06,0.00419726764866828
"Crbn_78654",551.99673746368,-0.572000146310716,0.130614667797256,-4.37929488285796,1.19063929548818e-05,0.00592766057290758
"Psip1_30136",269.606728186773,-0.778609034907046,0.177828325416542,-4.37843090004501,1.19536828792213e-05,0.00592766057290758
"Tnfrsf1a_71029",666.651522933805,0.627068215088296,0.142828646905128,4.39035325668818,1.13166663983389e-05,0.00592766057290758
"Rhof_64396",48.0478673876548,1.26687764489092,0.290431289684646,4.36205632756206,1.28845685312086e-05,0.00621179365076825
"Cnot6_74982",1282.62495717793,-0.824744629072119,0.189578351962346,-4.35041564891297,1.35879718595019e-05,0.00637386052955448
"Pomp_80505",650.757031760307,0.663244342972748,0.15296814892309,4.33583296681075,1.4520918272235e-05,0.00663223835612923
"Ehd2_70002",412.524019889826,0.7460607318057,0.172970976457704,4.31321339038709,1.60898683289184e-05,0.00716040396709509
