"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Axl_71697",851.291705038015,1.23488936674021,0.151143916727717,8.17028824894647,3.07653491430357e-16,4.71848159806738e-12
"Myl4_67749",1197.28872692534,7.04177593192188,0.895220796992723,7.86596553115948,3.66261388395061e-15,2.80867545690753e-11
"Col1a1_59966",9144.23547016539,2.12042258171396,0.288322794549712,7.35433556346292,1.91879151630281e-13,9.80950182851204e-10
"Myl7_59533",1482.52343186792,6.71456026454245,0.958132024232938,7.00796977318235,2.41801026879552e-12,9.27125587312921e-09
"Enc1_57258",179.776049014522,1.47614836786509,0.212731391322601,6.93902464834892,3.94816250319816e-12,1.00921613852584e-08
"Mybphl_54377",75.6376304434506,8.93273383517243,1.28432410101008,6.95520221737419,3.52056676277895e-12,1.00921613852584e-08
"Guk1_66661",1752.6907902312,-1.09077480923285,0.163313969305185,-6.67900494901644,2.40570040051176e-11,5.27088957752126e-08
"Jag1_59938",429.98757621217,1.263438211008,0.195459283512435,6.46394578095147,1.02007434626084e-10,1.95561003107532e-07
"Minos1_65012",2179.47752646516,-0.960483718667842,0.149691693915138,-6.41641291875789,1.39522697204572e-10,2.37762178558501e-07
"Col5a1_64844",137.268264575081,1.6668949214788,0.262040143909335,6.36121968416999,2.00157925520401e-10,3.06982210370639e-07
"Ptger4_29247",234.349074191292,1.44800015976038,0.233224543347169,6.20860968995419,5.34554050169443e-10,7.45314133404432e-07
"Gfpt2_56482",339.545300440179,1.32511149412955,0.21471467434143,6.17149944778535,6.76453676548032e-10,8.0368510953262e-07
"Stard10_64933",311.867158766809,1.91138822426419,0.309767869840499,6.1703888955571,6.81222300575345e-10,8.0368510953262e-07
"Col1a1_29427",793.70086685428,1.66453601848542,0.270807220965405,6.14657176626046,7.91755082378543e-10,8.09543179895981e-07
"Rps15_62945",954.601935151898,-1.00589024530253,0.163561675105177,-6.14991405936449,7.75249423483737e-10,8.09543179895981e-07
"Ptprj_62119",607.316189501722,0.981935074756745,0.160487995428386,6.11843317087795,9.44998976514718e-10,9.05840581425389e-07
"Sox5_67631",268.404800624062,1.56595868514079,0.25753929178444,6.08046513714689,1.1983440648943e-09,1.0811178190167e-06
