"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Lipo5_56386",22.7646691939931,18.4543379106002,2.90153114905665,6.36020671933854,2.0148240754909e-10,3.15783377351689e-06
"Egr1_58083",25.3468566851411,2.27469689961829,0.401337373673711,5.66779235832551,1.4464910731955e-08,0.000108716517941936
"Fbxo11_72686",2357.93749607859,-0.690140398045376,0.123126522537709,-5.6051318905235,2.08096442178145e-08,0.000108716517941936
"Bcam_77557",897.5520125941,0.932046506145206,0.17520975013063,5.31960410565227,1.03993293810186e-07,0.000407471723471762
"Egr1_30209",31.2882736737841,2.08627703322002,0.402597379433722,5.18204325163392,2.19468304310055e-07,0.000447604587829801
"Mt2_76492",678.262224058761,1.91673431757837,0.368140913124631,5.20652350565959,1.92411331007904e-07,0.000447604587829801
"Nr4a1_74357",45.3242515011132,2.19048310225489,0.423319288469571,5.17454120782957,2.28471683955746e-07,0.000447604587829801
"Tubgcp5_63771",338.25031902645,-0.723830197858079,0.138701205844728,-5.21862945206392,1.80251973897038e-07,0.000447604587829801
"Ubtf_69427",2070.46014525876,-0.715245865739311,0.138947669987095,-5.1475916494731,2.63852099383874e-07,0.000459483772627051
"Crbn_78654",551.99673746368,-0.645199265143268,0.127573408302528,-5.05747454526917,4.24845115328622e-07,0.000665859749254549
"Csnk1g1_72572",85.3921262184862,-0.85740122496827,0.170500266751252,-5.02873831991805,4.93717616339567e-07,0.000703457836444548
"Nek7_73928",1468.75840701659,-0.574431194192569,0.11501400622373,-4.99444557278671,5.90050284446037e-07,0.000770654842343561
"Atf3_29935",50.9034191021941,1.67408381807376,0.342382772399769,4.889509499383,1.01087544864502e-06,0.00108882697590061
"Slc4a1ap_67273",499.379457897353,-0.614207137504499,0.126411378518604,-4.85879629430752,1.18101566964273e-06,0.00108882697590061
"Stx11_69405",251.437931491996,1.19841727813842,0.246230009787945,4.86706425090308,1.13268213171479e-06,0.00108882697590061
"Tdrd3_80516",1176.45595859158,-0.423757383779289,0.0870082015671452,-4.87031539724759,1.11420254765189e-06,0.00108882697590061
"Wwp1_57205",2209.48380665349,-0.553383502613128,0.113183829924151,-4.8892452480533,1.01223323962315e-06,0.00108882697590061
"Gm13889_55024",89.9672578687071,1.81079083405383,0.375396146225271,4.82367987061644,1.40933554264229e-06,0.00116255347157014
"Hbs1l_72436",450.82070873,-0.824555539341007,0.170781761475257,-4.82812410539793,1.3782519456793e-06,0.00116255347157014
"Col6a2_29638",244.615121275743,1.0736501517826,0.225793880864985,4.75500109954086,1.9844533712399e-06,0.00153053651420796
"Crybg3_78298",851.495954574427,-0.694722110355447,0.146307842159349,-4.74835866691821,2.05074119813483e-06,0.00153053651420796
"Atg4c_54845",187.585879196839,-0.883218871505747,0.187130144994782,-4.71981075807093,2.36064155323981e-06,0.00159801365343952
"B4galt1_31884",147.515221198812,0.876941164697572,0.185747184475454,4.72115454763976,2.34509659701103e-06,0.00159801365343952
"Rasa1_29997",658.254188776496,-0.647246169743535,0.137346839301441,-4.71249409913973,2.44703169033041e-06,0.00159801365343952
