"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Slfn3_82374",1054.17745736515,5.26281857556954,0.316519171240473,16.6271716020991,4.43019449274415e-62,7.68904556160674e-58
"Cmpk2_70664",158.006926108794,4.57844874651004,0.306504393172682,14.9376284598002,1.87531260013288e-50,1.62739627439532e-46
"Trafd1_66514",1001.35832703895,2.01426085124134,0.147646201519359,13.6424833860507,2.23807194424091e-42,1.29479922214151e-38
"Zc3h12a_61563",211.881241109236,2.50864460716861,0.196191221372814,12.7867321973675,1.94480844112759e-37,8.43852382605263e-34
"Slfn4_31065",705.160125944693,6.47107997497478,0.527286881441534,12.2724084416507,1.27406297674739e-34,4.42252740488553e-31
"Oasl2_67419",724.881433054652,3.53281092117145,0.291613963696218,12.1146836605248,8.83041685052801e-34,2.5543452476294e-30
"Myd88_81930",502.398318139163,1.71537308622203,0.142277363548142,12.0565425408773,1.79146775855774e-33,4.44181634536117e-30
"Dtx3l_58986",219.652770225183,2.90286855793564,0.244563839591371,11.8695738617201,1.70333030693239e-32,3.69537510088982e-29
"Cxcl10_29431",479.380570485338,8.31934991165749,0.702120270380055,11.8488957841286,2.18044980124151e-32,4.20487630559418e-29
"Daxx_72797",169.687759601343,3.02062123083569,0.255766030935303,11.8100954211538,3.46168198611221e-32,6.00809525509635e-29
"Tnip1_64961",696.63539008555,2.30568216030378,0.19656026475852,11.7301539206634,8.92961475829051e-32,1.40893085222627e-28
"Ifit2_29861",423.999777546213,4.33522299399119,0.373085893338365,11.6199059557029,3.26495454644153e-31,4.72221259233659e-28
"Ifit3b_56319",19.1941137226801,5.09957326714018,0.448517365877854,11.3698457520349,5.90919210363355e-30,7.88922601158954e-27
"Eif2ak2_30238",859.971392037309,2.52565784315453,0.222397373010175,11.3565093371808,6.88406493707121e-30,8.53427364627199e-27
"Mt2_76492",678.262224058761,4.702493046141,0.416073099683191,11.3020838158526,1.28140734997116e-29,1.48267373107329e-26
"Tor3a_68066",138.166671838698,2.5501756062248,0.230861958322651,11.0463223337155,2.28380141820506e-28,2.47735358839794e-25
"Il4i1_31821",280.590291781061,5.23502257832914,0.47868051463868,10.9363603034493,7.72388048531498e-28,7.8856276295957e-25
"Daxx_77894",135.566100279053,2.96422219768443,0.271379464983989,10.9227947584734,8.96926545571174e-28,8.64836506940739e-25
"Trafd1_70537",83.2669064642725,2.29013746122018,0.211214361411832,10.8427165932851,2.15961242495389e-27,1.97274911828946e-24
"Tor1aip1_73280",374.587356791338,1.58198059804324,0.146179219546179,10.8221989620316,2.70215133869769e-27,2.34492693172186e-24
"Phf11d_80733",445.997575364977,2.79577812472143,0.260313873040979,10.7400273833324,6.60248003128408e-27,5.45679254395079e-24
"Slc39a14_63214",191.67440338264,3.13951772941727,0.294400523265942,10.6641037678498,1.49836615745607e-26,1.18207468312762e-23
"Il4i1_71608",59.3935967358253,5.74530206741467,0.544917644377924,10.543431886801,5.44739839094155e-26,4.11065419448616e-23
"Nfkbia_55629",273.988568528881,2.37608930385938,0.227656430328493,10.437171928027,1.67733340611684e-25,1.21299160819016e-22
