"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Myl4_67749",1197.28872692534,6.65797203550644,0.892980544244985,7.455898203399,8.92576422745013e-14,1.54915563931624e-09
"Myl7_59533",1482.52343186792,7.32389871238474,1.00642315323947,7.2771564215416,3.40929877214886e-13,2.95858947447078e-09
"Mybphl_54377",75.6376304434506,8.85216262538428,1.29231414750488,6.84985353017723,7.39256395473767e-12,4.27684466661423e-08
"Hist1h1b_61031",46.4658151005875,-2.53998372986164,0.444089305355104,-5.71953365963318,1.0681681345249e-08,4.63478153570355e-05
"Bub1_29853",90.8090122269422,-2.90807118129034,0.517331650585274,-5.62128989788338,1.89536908197503e-08,6.57920515735172e-05
"Cyp2b10_30803",6846.57148018444,-2.13801648307199,0.386603044511868,-5.53026292323043,3.19751169987972e-08,9.24933551051874e-05
"Cyp2b10_71476",591.746493939974,-2.35113298665149,0.458286119770855,-5.13027317481723,2.89321999724037e-07,0.000717353232458626
"Hist1h3a_31343",130.953914367579,-1.68076851521431,0.347008624728384,-4.84359291222201,1.275120519758e-06,0.00245899908232443
"Sbk3_55700",210.66450254213,3.33490591923978,0.68608043160499,4.86080897459534,1.16907023090082e-06,0.00245899908232443
"Pbk_65781",112.557190786704,-2.27315149039588,0.472420675124371,-4.81171043116908,1.49644062119189e-06,0.00259722234214064
"Dkk3_59659",171.627341933393,2.86491849416702,0.604773578675657,4.73717535815746,2.16717630771606e-06,0.00341941018152
"Aurkb_64817",45.7608475641386,-3.11181638561541,0.67651357879942,-4.59978407401344,4.22929092757963e-06,0.00611696444492267
"Jag1_59938",429.98757621217,0.907692374473525,0.198406261829894,4.5749179794121,4.76406588844976e-06,0.00636039442768723
"Chad_57142",1097.45417847391,3.73063705075454,0.830529135619074,4.4918798037997,7.0597265258054e-06,0.00832904040547646
"Cnn1_74046",484.880928567917,2.36327415348604,0.526607231396357,4.4877358543284,7.19841012227166e-06,0.00832904040547646
"Hist1h4k_63262",47.0237596764095,-2.09832317819401,0.477634478091176,-4.39315684784686,1.11716466212143e-05,0.0116558700532442
"Sfxn3_61715",538.746650594033,0.625831345148626,0.142609148135064,4.38843758154917,1.14167890588357e-05,0.0116558700532442
"Ccnb1_70745",76.9198123723638,-2.35532987487683,0.541922455694931,-4.34624889617554,1.38485420828534e-05,0.0126502787573687
"Pclaf_69769",209.953432330595,-1.24011134907923,0.28476528922151,-4.35485431693394,1.33155443317107e-05,0.0126502787573687
"Actg2_76115",184.473473903663,2.8723236979226,0.672701546731103,4.2698336459612,1.956188165521e-05,0.0169758009003912
"Thbs1_54836",1322.32751890721,1.77626954969635,0.421984970725682,4.20931946140576,2.56141016239807e-05,0.0211694451326576
"Ltbp2_69996",830.078801726097,2.55781778695408,0.626412750745364,4.08327861128393,4.44047319542463e-05,0.0350312967180863
"Sytl2_29612",181.704469615036,1.91921774055217,0.473460244814398,4.05359850499069,5.04357481511494e-05,0.0380592541265804
"Gsn_69893",1760.94505247652,0.844880969821862,0.209834220044509,4.02642128458672,5.66321857848499e-05,0.0409545090200773
"Fos_79891",52.9306895943012,1.64491402920962,0.414094115102272,3.97231926081192,7.11762370829874e-05,0.0494133908324931
"Fcamr_55582",65.5675283361852,4.48004680970369,1.14279235813684,3.92026318500045,8.84523177427316e-05,0.0568584602497352
