"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Mt2_76492",678.262224058761,3.22609756747131,0.372564106623481,8.65917438131434,4.75193403380451e-18,8.24745670907111e-14
"Rhof_64396",48.0478673876548,2.28634089957086,0.285010523874259,8.02195255281013,1.0407734532458e-15,9.03183202726704e-12
"Lipo5_56386",22.7646691939931,22.2466774658853,2.96083200785089,7.51365744726363,5.749791608812e-14,3.32644610541803e-10
"Hspa1a_69206",45.7203089888308,4.65494005128468,0.633075096966677,7.35290342897456,1.93947065759222e-13,8.41536318329263e-10
"Txnrd1_72590",545.813763099474,1.44346841934492,0.203906887341008,7.07905671146314,1.45138985295526e-12,5.03806445757831e-09
"Hmox1_31505",40.386392271458,3.59357857600962,0.532639958546247,6.74673110484933,1.51213133839124e-11,4.3740919181864e-08
"Hmox1_55177",14.4050313961851,3.46904599072219,0.516788411970151,6.71270080824211,1.91054605725443e-11,4.73706248138684e-08
"Fosl1_30439",15.2324685482144,4.53714915905199,0.696578592715187,6.5134777417817,7.34304908517174e-11,1.59307449902801e-07
"Atf3_29935",50.9034191021941,2.20359416635693,0.35164368392153,6.26655409186494,3.69125201013113e-10,7.11837443198177e-07
"Srxn1_75314",11.6286915010195,2.62708448429592,0.427311670806639,6.14793525142143,7.84980630071177e-10,1.36241238155153e-06
"Gclc_68462",262.509761358572,1.22827977530742,0.215006636691707,5.71275284431627,1.1116307251205e-08,1.75395116956286e-05
"Hspa1b_32188",134.563340613306,3.49103664661894,0.615185392144911,5.67477168865643,1.38873747137911e-08,2.00857729610465e-05
"AA986860_70183",153.206657263488,0.969516623552348,0.171585710682155,5.65033428307023,1.601361192329e-08,2.1379403733894e-05
"Tnip3_58404",41.781692143987,1.77561218099872,0.323496838319503,5.48880845396402,4.04654140832442e-08,5.01655519163418e-05
"Sfn_31323",74.4721946181831,1.9088898867275,0.351942046892175,5.42387561697715,5.83204720921981e-08,6.7480674242146e-05
"Srxn1_30173",28.5477166528119,1.88868498207194,0.350835745564013,5.38338811239328,7.30966914633352e-08,7.46274221786851e-05
