miRNA,110_RNA-m110_ROF_24H_PLASMA_CTCAGA_S44_L004,115_RNA-m115_PF_24H_PLASMA_TCATTC_S49_L004,113_RNA-m113_PF_24H_PLASMA_TACAGC_S47_L004,81_RNA-m81_PS_24H_PLASMA_GGTAGC_S57_L004,106_RNA-m106_Sal_24H_PLASMA_CCAACA_S40_L004,105_RNA-m105_Sal_24H_PLASMA_CATTTT_S39_L004,74_RNA-m74_ROS_24H_PLASMA_GTGGCC_S53_L004,109_RNA-m109_ROF_24H_PLASMA_CTATAC_S43_L004,82_RNA-m82_PS_24H_PLASMA_CAGGCG_S58_L004,75_RNA-m75_ROS_24H_PLASMA_GTTTCG_S54_L004,112_RNA-m112_ROF_24H_PLASMA_TAATCG_S46_L004,111_RNA-m111_ROF_24H_PLASMA_GACGAC_S45_L004,118_RNA-m118_PF_24H_PLASMA_TCGGCA_S52_L004,76_RNA-m76_ROS_24H_PLASMA_CGTACG_S55_L004,80_RNA-m80_PS_24H_PLASMA_GAGTGG_S56_L004,107_RNA-m107_ROF_24H_PLASMA_CGGAAT_S41_L004,104_RNA-m104_Sal_24H_PLASMA_CATGGC_S38_L004,114_RNA-m114_PF_24H_PLASMA_TATAAT_S48_L004,116_RNA-m116_PF_24H_PLASMA_TCCCGA_S50_L004,108_RNA-m108_ROF_24H_PLASMA_CTAGCT_S42_L004,117_RNA-m117_PF_24H_PLASMA_TCGAAG_S51_L004
mmu-mir-744_mature,0,0,0,0,0,811,0,0,102,0,0,0,0,1,0,0,0,1,0,0,0
mmu-let-7g_mature,1665,10,8,17324,9238,86327,1805,2101,31205,2153,1305,1043,1547,487,429,1343,6576,409,1094,982,1726
mmu-mir-300_mature,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,202,0,0,0,0,0
mmu-mir-202_mature,0,0,0,476,0,0,1,0,67,0,2,0,1,0,0,0,0,0,0,0,0
mmu-mir-1839_mature,1,1,0,200,237,820,246,0,1330,0,1,614,1176,1,359,288,682,0,53,1,3
mmu-mir-1306_mature,0,0,0,254,650,81,0,1,332,1,1,0,0,0,0,0,655,0,82,0,0
mmu-mir-700_mature,0,0,0,0,170,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
mmu-mir-1843a_mature,0,0,0,257,0,39,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0
mmu-mir-7a-1_mature,0,0,0,195,284,888,1,0,1007,257,2,0,86,0,0,0,1,84,43,1,0
mmu-mir-501_mature,0,0,0,0,0,0,116,0,346,0,0,0,0,0,0,0,0,0,60,0,0
mmu-mir-7a-2_mature,1,0,0,184,285,872,0,0,1037,273,1,0,70,1,1,0,0,70,27,1,0
mmu-mir-24-1_mature,4,0,210,493,306,3029,0,120,108,171,731,174,2,0,0,1,788,1,39,2,2
mmu-mir-203_mature,1801,281,619,687,515,2720,949,416,1301,1691,704,2148,1134,1823,200,765,1214,345,420,1027,295
mmu-mir-29b-2_mature,0,0,0,210,0,0,0,0,81,0,0,0,0,0,0,0,555,0,0,0,0
mmu-mir-182_mature,0,2,705,570,98,698,0,1,111,0,0,1,0,0,0,1,1,0,29,0,1
mmu-mir-574_mature,0,0,0,0,0,2375,0,1,207,0,0,0,0,0,0,0,292,0,55,2,0
mmu-mir-15a_mature,0,0,0,629,0,130,235,268,105,0,0,0,0,0,0,0,1,0,0,0,0
mmu-mir-181d_mature,0,0,0,0,0,0,0,0,30,0,0,1,0,0,0,0,0,0,0,0,0
mmu-mir-127_mature,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mmu-mir-145a_mature,0,0,0,1,0,1459,0,0,477,1,0,0,1,0,1,0,2,0,0,1,2
mmu-mir-3066_mature,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0
mmu-mir-423_mature,475,1,5,841,906,3046,246,1,562,95,949,2,1,1,353,13,269,7,151,4,7
mmu-mir-25_mature,1,0,3,838,2466,415,629,3,7810,797,2,4,5,3,4,1084,1,2,131,567,2
mmu-mir-143_mature,438,2,2,822,2251,17744,227,1009,1674,352,467,1,565,347,5,5,21,0,68,12,229
mmu-mir-374b_mature,0,0,0,0,0,115,0,0,105,0,0,0,0,0,0,0,0,0,85,1,0
mmu-mir-3084-1_mature,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,242,0,0,0,0
mmu-mir-5100_mature,0,0,0,0,0,423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mmu-mir-3473h_mature,0,0,0,0,101,69,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
mmu-mir-10b_mature,1,1,0,3206,2535,6481,249,3,3131,475,494,1,180,1,324,698,1485,0,342,822,3
mmu-mir-9-1_mature,0,0,0,0,22,0,0,0,0,0,0,0,0,77,0,0,0,0,0,1,0
mmu-mir-181b-1_mature,0,0,0,0,59,339,0,0,82,115,0,0,0,0,0,0,121,0,0,0,0
mmu-mir-320_mature,246,2,287,1092,5529,29167,2509,8,16886,3,548,504,283,7,5,730,1959,8,1221,225,8
mmu-mir-21a_mature,547,573,1969,24307,24253,63959,2247,2901,16481,4282,4463,1086,947,387,409,3778,22824,766,1953,1120,877
mmu-mir-214_mature,0,0,0,0,0,159,78,0,180,0,0,0,0,0,0,0,0,0,0,0,1
mmu-mir-16-2_mature,2,83,195,1667,678,296,244,1,3819,375,241,163,432,1,265,50,433,1,121,4,1029
mmu-mir-215_mature,1,1,2,135,169,1685,496,0,88,1,1,1,0,1,294,701,2199,0,431,4,0
mmu-mir-92a-1_mature,649,18,189,16032,12135,113633,2040,739,59458,745,1114,1398,535,35,1707,1712,4815,14,2743,2003,474
mmu-mir-27b_mature,0,1,0,0,0,0,0,0,156,535,0,0,0,305,79,0,0,3,0,0,0
mmu-mir-298_mature,0,0,0,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mmu-mir-30a_mature,2,3,0,2,232,994,253,2,802,698,510,1,284,1,1,117,6,1,2,2,7
mmu-mir-434_mature,1,0,0,0,147,109,1,0,684,93,0,0,0,0,0,1,172,0,2,1,0
mmu-mir-421_mature,0,0,0,0,0,93,0,270,140,0,0,0,0,0,0,0,0,0,0,0,0
mmu-mir-365-1_mature,0,0,0,0,0,426,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
mmu-mir-532_mature,0,0,0,0,88,625,0,0,0,0,0,0,0,0,0,451,0,0,0,1,0
mmu-mir-133a-2_mature,0,0,0,0,2,2409,0,1,612,0,0,0,0,0,0,7,0,1,0,2,1
mmu-mir-186_mature,1,0,0,1114,995,5429,384,3,2215,220,1,1,490,1,1,0,270,1,205,5,1
mmu-mir-1934_mature,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,42,0,0
mmu-mir-486a_mature,0,0,0,880,555,0,525,1,0,0,0,0,1,0,792,1,509,0,0,0,1
mmu-mir-103-1_mature,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,3,1
mmu-mir-181a-1_mature,104,148,1,598,43,1191,138,1,610,286,590,105,136,1,207,278,1,1,14,2,1
mmu-mir-664_mature,0,0,0,0,252,0,0,1,154,0,0,0,0,0,0,0,0,0,0,0,0
mmu-mir-3572_stemloop,0,0,0,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mmu-mir-433_mature,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,22,2,0
mmu-mir-340_mature,240,0,0,1523,129,2797,2,0,1030,1,0,2,2,1,0,1,426,1,51,229,1
mmu-let-7e_mature,0,0,0,914,121,67,0,0,690,1,0,0,0,0,336,0,1,0,75,3,0
mmu-mir-3535_mature,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
mmu-mir-144_mature,191,1,0,1120,500,256,174,1,153,1,1006,1,324,2,1,819,511,0,224,575,1
mmu-mir-3572_mature,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0
mmu-mir-1968_mature,0,0,0,0,0,260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mmu-mir-138-2_mature,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mmu-mir-100_mature,0,1,0,1,0,2455,130,0,592,199,0,113,0,1,0,433,0,0,0,4,0
mmu-mir-1668_mature,0,0,0,0,0,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mmu-mir-425_mature,0,1,1,1170,422,2033,0,0,684,0,0,0,0,222,0,140,1,0,2,2,0
mmu-mir-195a_mature,0,329,0,0,1,1,0,0,101,0,0,1,0,0,0,0,0,0,0,0,0
mmu-mir-1948_mature,0,0,0,0,0,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mmu-mir-1249_mature,0,0,0,0,0,52,0,1,205,0,0,1,1,0,0,0,0,0,30,223,0
mmu-mir-3084-2_mature,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,241,0,0,0,0
mmu-mir-3535_unannotated,0,0,0,0,0,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mmu-mir-124-1_mature,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mmu-mir-29a_mature,209,443,95,3079,2149,12807,748,4,2398,281,663,101,250,4,3,750,3427,949,325,124,1
mmu-mir-5110_mature,0,0,0,0,0,452,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
mmu-mir-485_mature,427,0,0,0,1,71,0,0,105,0,0,0,0,0,0,0,0,0,0,0,0
mmu-mir-328_mature,8,0,1,2892,3794,5575,125,899,3826,175,221,378,2,3,188,6,3761,1,4005,6,3
mmu-mir-674_mature,0,0,0,179,152,1184,146,0,212,0,1,0,0,0,0,248,227,0,0,177,0
mmu-mir-378a_mature,1,1,0,231,2,142,125,3,0,0,2,0,0,2,1,0,1,0,47,435,1
