miRNA,PEAT_SM1-24hr_mouse_plasma_CAAAAG_S4_L002,PEAT_SM2-24hr_mouse_plasma_CAACTA_S5_L002,SALINE_SM2-24hr_mouse_plasma_CACTCA_S11_L002,PEAT_SM3-24hr_mouse_plasma_CACCGG_S6_L002,SALINE_SM3-24hr_mouse_plasma_CAGGCG_S12_L002,RED_OAK_SM2-24hr_mouse_plasma_ATGAGC_S8_L002,SALINE_SM1-24hr_mouse_plasma_CACGAT_S10_L002,RED_OAK_SM1-24hr_mouse_plasma_ACTGAT_S7_L002,RED_OAK_SM3-24hr_mouse_plasma_ATTCCT_S9_L002
mmu-mir-6979_mature,0,0,0,0,0,0,0,0,26
mmu-mir-192_mature,10048,6865,2436,1115,1847,1304,4,2416,2777
mmu-mir-7648_mature,0,0,0,1,0,0,0,0,0
mmu-mir-380_mature,0,0,0,0,0,0,0,1,0
mmu-mir-296_mature,313,645,29,78,1,0,0,93,128
mmu-mir-582_mature,122,0,107,139,167,0,0,100,0
mmu-mir-8118_mature,0,0,0,0,0,0,0,75,0
mmu-mir-350_mature,0,0,75,0,0,0,0,99,0
mmu-let-7g_mature,30474,79938,23858,11852,7471,13694,3755,18743,27149
mmu-mir-451b_mature,0,0,0,0,0,0,0,0,0
mmu-mir-10b_mature,5407,8701,2715,3882,2317,138,692,1,9878
mmu-let-7i_mature,7376,23498,8807,1620,1280,3789,85,5405,6675
mmu-mir-411_mature,3,1,1,1,1,1,1,1,61
mmu-mir-132_mature,2,1,101,1,0,0,0,0,136
mmu-mir-7b_mature,0,0,0,0,0,0,0,0,0
mmu-mir-135b_mature,0,0,0,0,0,0,0,1,0
mmu-mir-188_mature,0,0,0,0,0,0,0,0,0
mmu-mir-24-2_mature,524,1552,872,419,157,686,643,118,728
mmu-mir-483_mature,560,307,125,40,0,152,0,1,0
mmu-mir-218-2_mature,0,1,24,0,0,1,0,0,0
mmu-mir-98_mature,967,2708,1600,152,195,276,1,133,1147
mmu-mir-148b_mature,1329,2357,1369,526,348,481,67,755,1084
mmu-mir-16-2_mature,9204,374,141,3880,2596,147,1101,6825,5943
mmu-mir-31_mature,0,2,1,1,1,0,1,0,342
mmu-mir-324_mature,0,1,0,0,0,0,0,0,0
mmu-let-7c-2_mature,7470,17142,4393,4979,2125,2402,707,4203,6275
mmu-mir-22_mature,2,158,2243,101,1,68,228,2523,1
mmu-mir-410_mature,1,1,1,0,0,0,1,2,1
mmu-mir-450b_mature,0,0,216,0,0,161,0,196,0
mmu-mir-181c_mature,0,0,56,112,115,1,0,0,0
mmu-mir-450a-2_mature,0,0,0,0,1,35,0,0,0
mmu-mir-3066_mature,0,0,48,0,0,0,0,0,0
mmu-mir-1a-1_mature,4779,6658,1995,7111,2662,423,961,1013,10527
mmu-mir-7119_mature,0,0,5,0,0,0,0,0,0
mmu-mir-6957_mature,0,0,0,0,0,52,0,0,0
mmu-mir-186_mature,5397,18954,5965,2827,1854,2179,1007,3092,5930
mmu-mir-377_mature,0,0,0,0,0,0,1,0,1
mmu-mir-29c_mature,1,61,1,79,0,1,98,1,39
mmu-mir-455_mature,11,0,54,55,0,0,0,341,71
mmu-mir-381_mature,0,1,0,0,1,0,2,0,1
mmu-mir-7115_mature,0,0,0,0,0,0,0,0,78
mmu-mir-495_mature,3,73,54,2,3,3,3,4,1
mmu-mir-182_mature,185,627,82,55,229,213,0,191,446
mmu-mir-29b-1_mature,395,953,126,38,26,95,2,461,488
mmu-mir-129-2_mature,0,0,1,0,0,1,0,0,0
mmu-mir-361_mature,4,1,1,2,1,3,2,79,290
mmu-mir-9-3_mature,0,0,0,27,0,38,0,42,0
mmu-mir-216b_mature,2,0,1,0,0,0,1,0,0
mmu-mir-702_mature,0,0,0,0,0,0,0,128,0
mmu-mir-5126_mature,196,1,75,0,80,0,0,0,123
mmu-mir-27a_mature,0,0,0,0,0,0,211,0,0
mmu-mir-494_mature,8,132,95,8,4,9,4,11,4
mmu-mir-135a-1_mature,0,0,0,0,0,0,0,24,0
mmu-mir-144_mature,1396,983,793,407,146,498,152,510,384
mmu-mir-30c-1_mature,1,10479,3001,3125,1474,2667,648,3243,2678
mmu-mir-181b-2_mature,107,3,127,33,2,92,86,85,199
mmu-mir-674_mature,222,963,15,395,171,1115,150,617,157
mmu-mir-1249_mature,0,429,0,465,72,56,49,0,19
mmu-mir-25_mature,195,13546,7677,1700,751,1,789,4103,4110
mmu-mir-6236_mature,0,0,0,0,0,0,9,0,0
mmu-mir-34a_mature,0,0,0,0,0,0,0,0,0
mmu-mir-379_mature,197,7,4,1,1,69,4,4,4
mmu-mir-29b-2_mature,414,1022,125,38,27,88,0,480,454
mmu-mir-134_mature,1,2,0,0,0,2,0,0,1
mmu-mir-338_mature,0,145,38,1,0,2,0,1,0
mmu-mir-130a_mature,0,1,53,0,0,138,0,145,443
mmu-mir-3103_mature,0,161,0,69,0,0,0,0,0
mmu-mir-301a_mature,0,0,1,0,0,0,0,0,157
mmu-mir-151_mature,480,401,122,262,1177,534,9,684,264
mmu-mir-3473h_mature,0,0,0,0,0,121,0,0,0
mmu-mir-378d_mature,1,0,0,1,0,0,0,0,0
mmu-mir-935_mature,0,1,0,0,0,0,0,2,0
mmu-mir-378b_mature,0,1,0,0,0,0,42,0,0
mmu-mir-328_mature,8357,16751,7668,6761,1685,7252,832,5794,10404
mmu-mir-30b_mature,780,2285,691,583,76,644,2,762,789
mmu-mir-8114_mature,119,2230,432,0,339,55,289,62,286
mmu-mir-137_mature,0,0,0,0,0,0,0,0,0
mmu-mir-196b_mature,0,0,0,0,0,0,1,2,0
mmu-mir-3074-2_mature,0,69,0,0,0,0,94,0,0
mmu-mir-196a-1_mature,0,0,0,90,0,0,0,0,0
mmu-mir-484_mature,5298,9742,5336,4615,658,2593,86,4962,5325
