"","110_RNA-m110_ROF_24H_PLASMA_CTCAGA_S44_L004","115_RNA-m115_PF_24H_PLASMA_TCATTC_S49_L004","113_RNA-m113_PF_24H_PLASMA_TACAGC_S47_L004","81_RNA-m81_PS_24H_PLASMA_GGTAGC_S57_L004","106_RNA-m106_Sal_24H_PLASMA_CCAACA_S40_L004","74_RNA-m74_ROS_24H_PLASMA_GTGGCC_S53_L004","109_RNA-m109_ROF_24H_PLASMA_CTATAC_S43_L004","82_RNA-m82_PS_24H_PLASMA_CAGGCG_S58_L004","75_RNA-m75_ROS_24H_PLASMA_GTTTCG_S54_L004","112_RNA-m112_ROF_24H_PLASMA_TAATCG_S46_L004","111_RNA-m111_ROF_24H_PLASMA_GACGAC_S45_L004","118_RNA-m118_PF_24H_PLASMA_TCGGCA_S52_L004","76_RNA-m76_ROS_24H_PLASMA_CGTACG_S55_L004","80_RNA-m80_PS_24H_PLASMA_GAGTGG_S56_L004","107_RNA-m107_ROF_24H_PLASMA_CGGAAT_S41_L004","104_RNA-m104_Sal_24H_PLASMA_CATGGC_S38_L004","114_RNA-m114_PF_24H_PLASMA_TATAAT_S48_L004","116_RNA-m116_PF_24H_PLASMA_TCCCGA_S50_L004","108_RNA-m108_ROF_24H_PLASMA_CTAGCT_S42_L004","117_RNA-m117_PF_24H_PLASMA_TCGAAG_S51_L004","PEAT_SM1-24hr_mouse_plasma_CAAAAG_S4_L002","PEAT_SM2-24hr_mouse_plasma_CAACTA_S5_L002","SALINE_SM2-24hr_mouse_plasma_CACTCA_S11_L002","PEAT_SM3-24hr_mouse_plasma_CACCGG_S6_L002","SALINE_SM3-24hr_mouse_plasma_CAGGCG_S12_L002","RED_OAK_SM2-24hr_mouse_plasma_ATGAGC_S8_L002","SALINE_SM1-24hr_mouse_plasma_CACGAT_S10_L002","RED_OAK_SM1-24hr_mouse_plasma_ACTGAT_S7_L002","RED_OAK_SM3-24hr_mouse_plasma_ATTCCT_S9_L002"
"mmu-let-7a-1_mature",21.5851063801049,11.632797478993,27.4498205210254,626.549887757233,556.265625974204,987.922373991549,80.1664743753937,972.337778326869,268.933213255747,556.265625974204,904.827418615006,2210.18599146863,369.554898809167,1539.16394721303,1264.13432604255,449.419274998,278.251405797832,634.329288499405,941.628680725694,17260.3544070686,501.789629898594,750.782920197167,556.985679174999,527.510715028556,437.178527536082,474.373765276913,363.28512059176,281.030020909456,620.579620595983
"mmu-let-7a-2_mature",6.47553191403146,46.5311899159719,21.9598564168204,658.436938565529,581.447410762534,838.891080713643,55.4998668752726,974.268580710838,265.347437079004,422.799209003883,858.378372484873,2221.97814233775,299.639107142568,1570.19547840684,1262.49152639857,446.009417069335,278.251405797832,478.578793555355,1024.2276878069,17347.1521662996,494.44140973806,726.567580355293,552.186964647945,554.972228825594,461.366683772709,0.166446935184882,384.442350626223,281.371906579662,0.0855028410851451
"mmu-let-7b_mature",621.65106374702,2570.84824285745,2915.1709393329,1864.3193503831,1172.21208189675,1620.46243324348,3891.15733314411,1328.32052897121,718.35049407424,1664.13021998659,9.28980922602676,1174.16130796771,3296.03017856825,43.4441436713356,381.950917225333,915.546853846456,41292.5086203983,1069.01476075235,1477.34224093806,18004.3352004767,646.877891791691,0.107385099077046,13.0569674340763,14.8541824629432,542.441800047331,624.508900813676,539.767380879234,787.106284232111,0.17100568217029
"mmu-let-7c-1_mature",511.567021208485,104.695177310937,5.48996410420509,1137.96912572105,748.654461757043,472.719170080598,67.8331706253331,555.856552984831,1139.08156547879,231.46623362685,13.0057329164375,419.463652344275,4624.43022023363,8192.32423516614,838.649218251752,540.462481693346,445.202249276531,257.696273452883,1283.82456720496,86.7977592309485,571.988584198164,904.612074625036,507.101367696092,619.631611311347,500.112526633233,397.475281221498,362.769090590919,372.569909107153,553.545393185229
"mmu-let-7c-2_mature",574.163829710789,69.7967848739579,43.9197128336407,1140.26867265434,738.078112145945,509.134056220901,92.4997781254543,554.783884993738,1143.86260038111,228.666238865235,16.7216566068482,363.872083961299,4864.14150594769,8552.28999701435,823.042621633943,554.783884993737,389.551968116965,280.350890899291,1326.304056561,185.995198352032,583.948985097757,920.397684189361,490.250067845275,621.503987252054,475.924370396605,399.805538314086,364.833210594281,359.236367969113,536.530327809286
"mmu-let-7d_mature",913.049999878436,34.8983924369789,10.9799282084102,172.312716867906,218.829709810586,328.408325006064,30.8332593751514,259.80018744293,436.269434837101,0.93333158720504,1.85796184520535,3.36918596260462,29.9639107142568,18.6189187162867,339.238126481855,340.644807073598,55.6502811595664,225.130260873673,25.9596879398061,61.9983994506775,384.843487769244,884.853216394859,847.475305080132,410.050331014862,619.037628129985,715.721821294992,256.982940418603,521.803004152138,481.038983945026
"mmu-let-7e_mature",0,0,0,140.119059801838,30.469959593879,0,0,49.342727590317,1.1952587255811,0,0,0,0,2085.31889622411,0,0.340985792866464,0,106.193519280034,7.07991489267439,0,1.01624321369087,0.912773342154891,18.1904759979012,25.5891378563308,2.01567968638562,83.2234675924409,4.64427000756511,0.0854714175515377,50.3611733991505
"mmu-let-7f-1_mature",433.860638240108,8701.33251428675,6027.98058641719,608.613421677567,723.97631266448,1255.63922209711,3841.82411814387,1009.73813561634,288.057352865045,1155.46450495984,867.668181710899,16.8459298130231,1378.33989285581,930.945935814334,521.588886963626,687.427358418792,13578.6686029342,533.799423580972,356.355716264611,61.9983994506775,504.994704649466,668.740704502304,490.696459894304,568.203685473258,573.796817391107,472.043508184325,619.236001008681,407.698661720835,464.878946979934
"mmu-let-7f-2_mature",384.214893565867,8515.20775462286,6181.69958133493,596.042565108912,723.472676968714,1230.68828159357,3533.49152439235,1086.46965257925,332.281925711545,1093.86462020431,891.821685698569,21.89970875693,1348.37598214156,744.756748651467,523.231686607606,680.948628354329,14747.3245072851,463.00374406095,356.355716264611,86.7977592309485,520.863733294023,656.122955360751,507.54775974512,615.886859429933,582.979358184642,460.725116591753,718.31376117007,407.185833215526,486.853177138816
"mmu-let-7g_mature",3593.92021228746,116.32797478993,43.9197128336407,2655.8234048217,2326.2932787459,1217.20128672679,12956.1355894386,2231.50697747223,2573.3920361761,1217.99772130258,1937.85420454918,2606.06534207467,4864.14150594769,2662.505376429,1103.13996093252,2242.32257388987,22760.9649942627,1549.0094678981,2317.49214153542,21401.8474903739,2382.23043800121,4292.07502501045,2662.505376429,1479.42664328406,1673.23810410967,2279.32433042177,1937.69265315633,1601.99077916847,2321.31663262061
