"","110_RNA-m110_ROF_24H_PLASMA_CTCAGA_S44_L004","115_RNA-m115_PF_24H_PLASMA_TCATTC_S49_L004","113_RNA-m113_PF_24H_PLASMA_TACAGC_S47_L004","81_RNA-m81_PS_24H_PLASMA_GGTAGC_S57_L004","106_RNA-m106_Sal_24H_PLASMA_CCAACA_S40_L004","74_RNA-m74_ROS_24H_PLASMA_GTGGCC_S53_L004","109_RNA-m109_ROF_24H_PLASMA_CTATAC_S43_L004","82_RNA-m82_PS_24H_PLASMA_CAGGCG_S58_L004","75_RNA-m75_ROS_24H_PLASMA_GTTTCG_S54_L004","112_RNA-m112_ROF_24H_PLASMA_TAATCG_S46_L004","111_RNA-m111_ROF_24H_PLASMA_GACGAC_S45_L004","118_RNA-m118_PF_24H_PLASMA_TCGGCA_S52_L004","76_RNA-m76_ROS_24H_PLASMA_CGTACG_S55_L004","80_RNA-m80_PS_24H_PLASMA_GAGTGG_S56_L004","107_RNA-m107_ROF_24H_PLASMA_CGGAAT_S41_L004","104_RNA-m104_Sal_24H_PLASMA_CATGGC_S38_L004","114_RNA-m114_PF_24H_PLASMA_TATAAT_S48_L004","116_RNA-m116_PF_24H_PLASMA_TCCCGA_S50_L004","108_RNA-m108_ROF_24H_PLASMA_CTAGCT_S42_L004","117_RNA-m117_PF_24H_PLASMA_TCGAAG_S51_L004","PEAT_SM1-24hr_mouse_plasma_CAAAAG_S4_L002","PEAT_SM2-24hr_mouse_plasma_CAACTA_S5_L002","SALINE_SM2-24hr_mouse_plasma_CACTCA_S11_L002","PEAT_SM3-24hr_mouse_plasma_CACCGG_S6_L002","SALINE_SM3-24hr_mouse_plasma_CAGGCG_S12_L002","RED_OAK_SM2-24hr_mouse_plasma_ATGAGC_S8_L002","SALINE_SM1-24hr_mouse_plasma_CACGAT_S10_L002","RED_OAK_SM1-24hr_mouse_plasma_ACTGAT_S7_L002","RED_OAK_SM3-24hr_mouse_plasma_ATTCCT_S9_L002"
"mmu-let-7a-1_mature",22.5851063801049,12.632797478993,28.4498205210254,627.549887757233,557.265625974204,988.922373991549,81.1664743753937,973.337778326869,269.933213255747,557.265625974204,905.827418615006,2211.18599146863,370.554898809167,1540.16394721303,1265.13432604255,450.419274998,279.251405797832,635.329288499405,942.628680725694,17261.3544070686,502.789629898594,751.782920197167,557.985679174999,528.510715028556,438.178527536082,475.373765276913,364.28512059176,282.030020909456,621.579620595983
"mmu-let-7a-2_mature",7.47553191403146,47.5311899159719,22.9598564168204,659.436938565529,582.447410762534,839.891080713643,56.4998668752726,975.268580710838,266.347437079004,423.799209003883,859.378372484873,2222.97814233775,300.639107142568,1571.19547840684,1263.49152639857,447.009417069335,279.251405797832,479.578793555355,1025.2276878069,17348.1521662996,495.44140973806,727.567580355293,553.186964647945,555.972228825594,462.366683772709,1.16644693518488,385.442350626223,282.371906579662,1.08550284108515
"mmu-let-7b_mature",622.65106374702,2571.84824285745,2916.1709393329,1865.3193503831,1173.21208189675,1621.46243324348,3892.15733314411,1329.32052897121,719.35049407424,1665.13021998659,10.2898092260268,1175.16130796771,3297.03017856825,44.4441436713356,382.950917225333,916.546853846456,41293.5086203983,1070.01476075235,1478.34224093806,18005.3352004767,647.877891791691,1.10738509907705,14.0569674340763,15.8541824629432,543.441800047331,625.508900813676,540.767380879234,788.106284232111,1.17100568217029
"mmu-let-7c-1_mature",512.567021208485,105.695177310937,6.48996410420509,1138.96912572105,749.654461757043,473.719170080598,68.8331706253331,556.856552984831,1140.08156547879,232.46623362685,14.0057329164375,420.463652344275,4625.43022023363,8193.32423516614,839.649218251752,541.462481693346,446.202249276531,258.696273452883,1284.82456720496,87.7977592309485,572.988584198164,905.612074625036,508.101367696092,620.631611311347,501.112526633233,398.475281221498,363.769090590919,373.569909107153,554.545393185229
"mmu-let-7c-2_mature",575.163829710789,70.7967848739579,44.9197128336407,1141.26867265434,739.078112145945,510.134056220901,93.4997781254543,555.783884993738,1144.86260038111,229.666238865235,17.7216566068482,364.872083961299,4865.14150594769,8553.28999701435,824.042621633943,555.783884993737,390.551968116965,281.350890899291,1327.304056561,186.995198352032,584.948985097757,921.397684189361,491.250067845275,622.503987252054,476.924370396605,400.805538314086,365.833210594281,360.236367969113,537.530327809286
"mmu-let-7d_mature",914.049999878436,35.8983924369789,11.9799282084102,173.312716867906,219.829709810586,329.408325006064,31.8332593751514,260.80018744293,437.269434837101,1.93333158720504,2.85796184520535,4.36918596260462,30.9639107142568,19.6189187162867,340.238126481855,341.644807073598,56.6502811595664,226.130260873673,26.9596879398061,62.9983994506775,385.843487769244,885.853216394859,848.475305080132,411.050331014862,620.037628129985,716.721821294992,257.982940418603,522.803004152138,482.038983945026
"mmu-let-7e_mature",1,1,1,141.119059801838,31.469959593879,1,1,50.342727590317,2.1952587255811,1,1,1,1,2086.31889622411,1,1.34098579286646,1,107.193519280034,8.07991489267439,1,2.01624321369088,1.91277334215489,19.1904759979012,26.5891378563308,3.01567968638562,84.2234675924409,5.64427000756511,1.08547141755154,51.3611733991505
"mmu-let-7f-1_mature",434.860638240108,8702.33251428675,6028.98058641719,609.613421677567,724.97631266448,1256.63922209711,3842.82411814387,1010.73813561634,289.057352865045,1156.46450495984,868.668181710899,17.8459298130231,1379.33989285581,931.945935814334,522.588886963626,688.427358418792,13579.6686029342,534.799423580972,357.355716264611,62.9983994506775,505.994704649466,669.740704502304,491.696459894304,569.203685473258,574.796817391107,473.043508184325,620.236001008681,408.698661720835,465.878946979934
"mmu-let-7f-2_mature",385.214893565867,8516.20775462286,6182.69958133493,597.042565108912,724.472676968714,1231.68828159357,3534.49152439235,1087.46965257925,333.281925711545,1094.86462020431,892.821685698569,22.89970875693,1349.37598214156,745.756748651467,524.231686607606,681.948628354329,14748.3245072851,464.00374406095,357.355716264611,87.7977592309485,521.863733294023,657.122955360751,508.54775974512,616.886859429933,583.979358184642,461.725116591753,719.31376117007,408.185833215526,487.853177138816
"mmu-let-7g_mature",3594.92021228746,117.32797478993,44.9197128336407,2656.8234048217,2327.2932787459,1218.20128672679,12957.1355894386,2232.50697747223,2574.3920361761,1218.99772130258,1938.85420454918,2607.06534207467,4865.14150594769,2663.505376429,1104.13996093252,2243.32257388987,22761.9649942627,1550.0094678981,2318.49214153542,21402.8474903739,2383.23043800121,4293.07502501045,2663.505376429,1480.42664328406,1674.23810410967,2280.32433042177,1938.69265315633,1602.99077916847,2322.31663262061
"mmu-let-7i_mature",583.797872262831,24.265594957986,2444.03402637126,910.547463680857,1325.05824417038,1365.88388051802,6913.81675190895,650.464713007621,733.693598781213,83.1331796740435,428.331224397231,1811.93745489998,40.9518809523424,1,232.634749801169,796.519854757461,26935.7360812301,514.976633315366,1398.10320548775,15736.1937805819,577.600764937222,1262.66752905621,983.843693947949,203.21660159637,287.674444285955,631.667437415517,44.8625500714483,462.973011866061,571.731464243344
"mmu-mir-100_mature",1,12.632797478993,1,1.15330312888604,1,88.6654666340624,1,43.3346300485038,238.856486390638,1,210.949688508205,1,10.9879702380856,1,356.666122921654,1,1,1,10.4398865235659,1,130.453750913238,182.641895088823,94.9655263204466,258.888579566729,187.338388785871,113.018787379425,170.773870276547,73.9071191714617,77.012025724694
"mmu-mir-101a_mature",3.15851063801049,1,11.9799282084102,68.4533767098563,464.344840105267,395.494599853281,7.16665187503029,152.818276339482,1128.12897822298,2.86666317441008,359.586636124633,567.023241717576,1,7.20630623876223,390.343515623242,96.8170077954764,56.6502811595664,90.2025561952288,298.356425492324,1,359.733854432879,562.946223470182,554.302944770516,407.680054321589,217.349619672057,375.838498036354,343.127890557296,305.534660736129,379.521077483937
