"","110_RNA-m110_ROF_24H_PLASMA_CTCAGA_S44_L004","115_RNA-m115_PF_24H_PLASMA_TCATTC_S49_L004","113_RNA-m113_PF_24H_PLASMA_TACAGC_S47_L004","81_RNA-m81_PS_24H_PLASMA_GGTAGC_S57_L004","106_RNA-m106_Sal_24H_PLASMA_CCAACA_S40_L004","74_RNA-m74_ROS_24H_PLASMA_GTGGCC_S53_L004","109_RNA-m109_ROF_24H_PLASMA_CTATAC_S43_L004","82_RNA-m82_PS_24H_PLASMA_CAGGCG_S58_L004","75_RNA-m75_ROS_24H_PLASMA_GTTTCG_S54_L004","112_RNA-m112_ROF_24H_PLASMA_TAATCG_S46_L004","111_RNA-m111_ROF_24H_PLASMA_GACGAC_S45_L004","118_RNA-m118_PF_24H_PLASMA_TCGGCA_S52_L004","76_RNA-m76_ROS_24H_PLASMA_CGTACG_S55_L004","80_RNA-m80_PS_24H_PLASMA_GAGTGG_S56_L004","107_RNA-m107_ROF_24H_PLASMA_CGGAAT_S41_L004","104_RNA-m104_Sal_24H_PLASMA_CATGGC_S38_L004","114_RNA-m114_PF_24H_PLASMA_TATAAT_S48_L004","116_RNA-m116_PF_24H_PLASMA_TCCCGA_S50_L004","108_RNA-m108_ROF_24H_PLASMA_CTAGCT_S42_L004","117_RNA-m117_PF_24H_PLASMA_TCGAAG_S51_L004","PEAT_SM1-24hr_mouse_plasma_CAAAAG_S4_L002","PEAT_SM2-24hr_mouse_plasma_CAACTA_S5_L002","SALINE_SM2-24hr_mouse_plasma_CACTCA_S11_L002","PEAT_SM3-24hr_mouse_plasma_CACCGG_S6_L002","SALINE_SM3-24hr_mouse_plasma_CAGGCG_S12_L002","RED_OAK_SM2-24hr_mouse_plasma_ATGAGC_S8_L002","SALINE_SM1-24hr_mouse_plasma_CACGAT_S10_L002","RED_OAK_SM1-24hr_mouse_plasma_ACTGAT_S7_L002","RED_OAK_SM3-24hr_mouse_plasma_ATTCCT_S9_L002"
"mmu-let-7a-1_mature",4.49729980404416,3.65910224804052,4.83034764603984,9.29358634200006,9.12222135563288,9.9497134700587,6.34281204348035,9.92679674149364,8.07645869029697,9.12222135563288,9.82309239895875,11.1106046656209,8.53354348769699,10.5888682156095,10.3050748563225,8.81512475642248,8.1254207332674,9.31136071827731,9.88054576770261,14.0752580491474,8.97381108406744,9.55417232884978,9.12408428521926,9.04578891088478,8.77537497812791,8.89291847641799,8.50892425845718,8.13970492939161,9.27979539341242
"mmu-let-7a-2_mature",2.90217623649245,5.57080261401937,4.52104171480214,9.36509089205861,9.18598398433622,9.71405843730561,5.82017556314775,9.92965576935527,8.05716558844664,8.72723708478249,9.7471496598102,11.1182780476487,8.23188887704281,10.6176469676393,10.3032002735481,8.80416141450798,8.1254207332674,8.90562405555576,10.0017286310674,14.0824943822672,8.95257064601953,9.50693744922553,9.1116233508558,9.11886901096771,8.85289363673196,0.222120676728912,8.59037128678892,8.14145275057103,0.118363501921814
"mmu-let-7b_mature",9.28228008716275,11.3285898006809,11.50985957432,10.8652069316427,10.1962481180148,10.6630798838482,11.926354314195,10.376473297329,9.49055106594085,10.7014192910173,3.36314432967352,10.1986430859054,11.6869513770909,5.47392142501224,8.58101568371775,9.84006482295031,15.3336273859588,10.0634149832673,10.5297645813095,14.1361368375927,9.33957811784327,0.147157014273448,3.81321348448196,3.98679158020884,9.08598172773376,9.28888660345181,9.07886432056817,9.62224639483033,0.227748076367745
"mmu-let-7c-1_mature",9.00159684774572,6.72376574030491,2.6982104987439,10.1535129247961,9.55008195714302,8.88788824468033,6.10503206045661,9.12116192496936,10.1549213282646,7.86087736570771,3.80794557613935,8.71583727955558,12.1753718443951,13.0002331925184,9.71364292625538,9.08071756574282,8.80155397590702,8.01511546177276,10.3273556687491,6.45611221474309,9.16236258585157,9.82274938368384,8.98897253733037,9.27759337088348,8.96899079197199,8.63834642148044,8.50687915237471,8.54523444104755,9.1151617490667
"mmu-let-7c-2_mature",9.16782914173823,6.14561193892842,5.48927679967826,10.1564227494503,9.52958303865258,8.994732607116,6.54689103638297,9.1183801938406,10.1609587496714,7.84339498466421,4.14744156710842,8.51124696560468,12.2482660520446,13.0622637396786,9.6865751490639,9.1183801938406,8.60937072061639,8.13622672147996,10.3742831833619,7.54685741495368,9.19216699881989,9.84768016169913,8.94031379639286,9.28193926771101,8.89761669478004,8.64675863354503,8.51504223966953,8.49280002687712,9.07020234456189
"mmu-let-7d_mature",9.83612927475577,5.16584733517173,3.58254735746473,7.43723370629909,7.78024256832698,8.36373320595981,4.99246297550644,8.02680109624129,8.77237869723783,0.951089096519864,1.51498665607667,2.12736451150837,4.95251578897181,4.29417362545377,8.41040100568581,8.4163533881046,5.8240112111539,7.82101025701293,4.75273189221204,5.97724327058082,8.59187194605251,9.79092385749111,9.72872886043614,8.6831712451412,9.27621196054726,9.48526946921663,8.0111318577984,9.03012362100551,8.91300601604298
"mmu-let-7e_mature",0,0,0,7.14076904393653,4.97590342116438,0,0,5.65371147933261,1.13439098081587,0,0,0,0,11.026743976958,0,0.423293952626673,0,6.74407387555937,3.01434009686776,0,1.01166967753913,0.935665928821246,4.26231859127187,4.73276509394978,1.59248319936118,6.39615036929527,2.49678700445852,0.118321737653145,5.68260625758507
"mmu-let-7f-1_mature",8.76440931778622,13.0871864276664,12.5576983685037,9.25175085634367,9.50179004813021,10.2953547998141,11.907951232,9.98119355353222,8.17521196099482,10.1755052710821,9.76266138405369,4.15752316588432,10.4297622899663,9.86410245324342,9.0295326353417,9.42716062165434,13.7291606521559,9.06285410023718,8.48121705559288,5.97724327058082,8.98297847663911,9.38745884245829,8.94162415788563,9.15280119281407,9.16690826349277,8.88582907134169,9.27667345801694,8.67489370905237,8.86381132645867
"mmu-let-7f-2_mature",8.58951967296191,13.055995429721,12.5940211911099,9.22168997935942,9.50078747024698,10.266421466424,11.7872869670231,10.0867594256839,8.38059927021908,10.0965367765575,9.80222825891072,4.51725734484257,10.398076672974,9.54256131791946,9.03406074819126,9.41351925393635,13.8482634450523,8.85799263632665,8.48121705559288,6.45611221474309,9.02752933571694,9.36001953063066,8.99023945945607,9.26886210490816,9.18977356509413,8.85089040298676,9.49047739429926,8.67308230182596,8.93030321361826
"mmu-let-7g_mature",11.8117440356842,6.8744032293889,5.48927679967826,11.3754866218413,11.1844373111043,10.2505368180457,13.661459199033,11.1244489690114,11.3300160528983,10.2514797137633,10.9209886062697,11.3482110269164,12.2482660520446,11.3791104777217,10.1087073445906,11.1314213693265,14.4743374875063,10.5980613125796,11.1789711214081,14.3855151288374,11.2187027392068,12.0677956699483,11.3791104777217,10.5317972898737,10.709289002031,11.1550233180934,10.9208683914009,10.6465504114108,11.18134897227
"mmu-let-7i_mature",9.18932514251032,4.60084032826016,11.2550486554715,9.83059041162513,10.3718400607371,10.4156191239844,12.7552666506842,9.34532698422779,9.51903388798224,6.3773524876169,8.74258304010916,10.8233174414464,5.35585781240189,0,7.8619228051641,9.63756651386444,14.7172338702409,9.00836316233303,10.4492551464839,13.9417990082015,9.17392884261339,10.3022591000941,9.94228531847107,7.66687445636511,8.16829325395407,9.30302139268801,5.487439723133,8.85478428653926,9.15919387843496
"mmu-mir-100_mature",0,3.65910224804052,0,0.20577175415506,0,6.47030040892135,0,5.4374484831509,7.90000024496592,0,7.72075514702623,0,3.45785300274864,0,8.47843038115007,0,0,0,3.38403412549453,0,7.0273946160775,7.51287392390389,6.56933198693456,8.01618751435671,7.54950275212198,6.82041880494779,7.41594343811555,6.20764143488362,6.26701184067823
"mmu-mir-101a_mature",1.65924443129039,0,3.58254735746473,6.09704980426547,8.85905279325938,8.62751418581772,2.8412992763285,7.25567328293621,10.1397163041765,1.51937240155951,8.49019559451201,9.14726406078612,0,2.84925996175026,8.60860049363375,6.59718860216882,5.8240112111539,6.49509641260224,8.2208930373097,0,8.49078612718552,9.13685330242054,9.11453086183139,8.67129356471441,7.76387376090157,8.55396904280582,8.42260258740837,8.25519224260325,8.56803620067802
"mmu-mir-101b_mature",0,0,0,4.96350724965525,8.7272471529671,8.50432567505035,0,7.11241880125535,2.53132778248423,1.51937240155951,1.51498665607667,9.26649712525233,4.39066359160207,4.29417362545377,1.40206705547773,7.00976897531737,0,6.40154346666616,8.49071326933561,6.45611221474309,9.76222035006881,8.77621324271443,9.23991745799361,7.84973733072227,8.40498098772769,8.43133989982482,9.12359473781692,8.4312610642824,8.63720700683562
"mmu-mir-106b_mature",1.65924443129039,3.65910224804052,2.6982104987439,4.57544341415312,5.99328135094642,7.83876406606906,2.8412992763285,6.11761646168,1.13439098081587,0,9.75957235296939,8.07967078620568,0,2.84925996175026,1.40206705547773,7.39595413140165,5.8240112111539,5.91810880377573,3.01434009686776,3.74412663091143,8.41978207215468,8.49266701322054,7.66686733300808,7.08810679567626,6.16536436306928,6.88888369165708,6.30232874188799,6.35501557691864,7.26965590445437
"mmu-mir-10a_mature",3.80230323278071,5.16584733517173,0,5.16804480218841,9.6986901297188,9.39516285153678,11.7771833499978,8.59918416259977,1.13439098081587,1.51937240155951,3.60261972069584,9.13866616591835,10.2755522277825,11.9694850350685,9.459673921101,10.4139041722027,7.39189523083377,7.34353351345476,5.72572414175153,3.74412663091143,9.24646630208963,10.2405934670507,3.08356515930494,9.03930028992727,9.05168702793732,9.48292226435383,9.22535866726441,9.16060499497866,9.28652707586935
"mmu-mir-10b_mature",1.65924443129039,3.65910224804052,0,8.94395012629028,9.32048071652222,7.40013729119901,4.28539893580921,7.81314989225027,9.15164548952128,8.85195451427005,1.51498665607667,8.24900313808653,3.45785300274864,10.9743021680457,9.16575388622391,8.98687706890973,0,8.92256194946783,10.9225076060296,5.25546446403432,8.72682782665602,8.87091602440747,8.24787342692179,8.92353813458361,9.02216120718947,4.58313856651323,8.48418954233852,0.118321737653145,9.72382655772629
"mmu-mir-1198_mature",0,0,2.6982104987439,6.19388553257085,5.95279759563489,0,0,2.88058694207204,0,0,0,0,0,0,0,0.423293952626673,0,0,0,0,1.63722024265795,4.74845097510355,5.40228779337803,3.44110894037545,0,4.20765302225538,0,3.17541493770307,4.94274854064272
"mmu-mir-122_mature",13.0475804300648,4.60084032826016,2.6982104987439,0.385824454414774,4.92897135401619,1.23186213403363,4.28539893580921,11.1833075663382,1.76150547019244,1.51937240155951,8.38186809537352,8.19197013636386,16.2212658387353,2.84925996175026,8.86136890025896,10.527579183508,5.8240112111539,1.27256885494026,4.62056977296887,5.25546446403432,7.32758279646854,4.08749506921075,0.152635159847728,4.69849701722722,6.71928496880271,4.97543709592135,8.89873950097233,8.70031393535786,4.74073089833516
"mmu-mir-1249_mature",0,0,0,0,0,0,2.8412992763285,3.9689935024519,0,0,1.51498665607667,1.42470337373461,0,0,0,0,0,5.44219401886544,9.042408155795,0,0,4.58701110029305,0,5.88371010622713,4.09806893891128,3.36751482058008,4.71619362854273,0,1.39207227054113
"mmu-mir-125a_mature",3.55980420301388,5.57080261401937,10.4578228657191,7.51062652861874,8.83300027211232,7.52687579844385,5.82017556314775,8.58017105113608,10.5880568226312,1.92599742976751,2.2375403738824,2.12736451150837,5.35585781240189,3.74551836429125,7.58168836920647,7.3783218195564,7.8047836342437,7.18411350015335,10.0116572077152,5.25546446403432,0.209572032692,4.14554564280134,7.76856899551986,0.169700645193512,7.07607500457116,8.33943607820168,7.95223069846322,7.33170490370384,0.118363501921814
"mmu-mir-125b-1_mature",2.41061823936575,3.65910224804052,3.58254735746473,6.19086115953972,6.48201030569456,7.65307344749262,4.99246297550644,6.73926182287488,8.77631686717051,9.40442930403541,1.51498665607667,7.69014009411541,3.45785300274864,2.84925996175026,7.27241299553331,7.38716491260687,0,6.35238909522484,3.67805591753491,3.74412663091143,7.02393240711893,8.17977626450162,8.05007118094878,8.55783993585868,7.83776544501265,7.26176954562354,5.41948597154819,0.118321737653145,0.118363501921814
